乘隙,顺便
百川归海,百川朝海
分袂,离别
高堂大厦,高楼大厦
打扮,梳妆
拆台,捣乱
兴盛,富强
音容如在,音容宛在
吝啬,爱惜
舍本求末,舍本逐末
城实,赤诚
好奇,纳闷
分开,分离
线路,映现
推波助澜,雪上加霜
坐不安席,坐立不安
东奔西撞,东碰西撞
正值,适值
发达,蓬勃
批注,诠释
利刃,芒刃
亏损,赔本
取消,讪笑
祸起萧墙,萧墙之祸
抉目东门,抉目吴门
出世,诞生
客岁,昨年
事倍功半,舍本逐末
分裂,翻脸
完毕,终了
嘲弄,玩弄
作茧自缚,自食其果
指谪,斥责
满山遍野,漫天遍地
有眼无珠,视而不见
狼吞虎咽,风卷残云
瓮中捉鳖,胜券在握
大概,大致
天花乱坠,言三语四
清澈,清晰
以前,当年
妻子,配头
判若云泥,判若天渊
伎俩,本事
漂泊,飘浮
仓促,仓皇
但心,忧郁
浪漫,狂放
情景,状况
兴亡,焕发
急不可耐,按捺不住
亲爱,喜爱
恒心,毅力
压迫,抑制
奉养,侍奉
形似,类似
覆盖,遮盖
销子,销钉
摈除,摒除
金科玉律,金科玉条
估计,猜测
列国,各国
伪饰,造作
宛延,曲折
平缓,缓和
暗送秋波,脉脉含情
寂寞,寂寥
住户,居民
依人作嫁,寄人篱下
古书,旧书
循序,递次
方位,方向
心在魏阙,心瞻魏阙
甜言蜜语,言不由衷
开头,起首
济世安民,济世安邦
切记,紧记
松弛,浮松
奴仆,跟班
一向,从来
美名,隽誉
锻练,陶冶
枉口嚼舌,枉口诳舌
浩然之气,浩然正气
不言而喻,可想而知
稳固,结识
纠集,集结
夕晖,夕阳
巴望,希望
稠密,繁密
择要,撮要
临渴掘井,斗而铸兵
六神无主,魂不守舍
抑遏,遏抑
压抑,遏抑
一律,一致
危如累卵,风雨飘摇
似乎,彷佛
吐逆,呕吐
卑下,卑贱
一举成名,石破天惊
不管,不论
岳立,直立
饔飧不济,饔飧不继
少焉,转瞬
株连,牵连
春和景明,风月无边
工钱,报酬
仇敌,敌人
德才兼备,德高望重
讲明,阐明
止宿,留宿
停留,盘桓
绘声绘色,维妙维肖
弟子,高足
困难,麻烦
其余,此外
夫唱妇随,琴瑟之好
大伙,群众
戴月披星,起早贪黑
信口雌黄,口不择言
失败,波折
明光烁亮,明光锃亮
年事,年岁
不惜,糟蹋
司空见惯,见惯不惊
刚毅,鉴定
商酌,磋商
蜕变,转换
筹议,磋商
学习,练习
含混,笼统
传播,流传
丁宁,嘱托
击败,打败
煽动,策动
财富,资产
参观,景仰
五尺之童,五尺童子
明争暗斗,鹿死谁手
亲爱,敬爱
倒台,塌台
孤陋寡闻,才疏学浅
讷言敏行,谨言慎行
同日而语,混为一谈
回心转意,弃旧图新
改变,改观
因袭,复旧
尽然,果然
否认,含糊
一挥而就,易如反掌
深交,知心
挽救,救济
撒播,散步
教会,教化
攻击,激进
选取,拣选
喧嚣,宣闹
巅峰,极峰
打点,管理
指使,指导
克绍箕裘,安家立业
亲事,婚事
聪明,聪颖
天道好还,恶有恶报
惊动,震动
不动声色,摇旗呐喊
反叛,起义
矢誓,赌咒
诘责,责问
车尘马迹,车辙马迹
瞎说,胡说
井底之蛙,井底鸣蛙
揭地掀天,翻天覆地
马革盛尸,马革裹尸
贴近,靠拢
征服,投降
闭门思过,闭阁思过
局势,时事
拜望,调查
阳奉阴违,面从腹诽
时髦,流行
原意,开心
赶快,赶紧
溃烂,腐败
粗犷,野蛮
胸无城府,胸有城府
属下,辖下
庞大,重大
不断,继续
抓紧,捏紧
改正,更改
干练,老到
家乡,梓里
风清月明,风清月朗
挥戈反日,挥日阳戈
切理厌心,切理餍心
宣称,扬言
溢美之语,溢美之辞
和平,安详
深根固柢,根深蒂固
养精蓄锐,逸以待劳
深信,笃信
千虑一得,抛砖引玉
至极,非常
慈悲,慈祥
侦察,考察
舒徐,舒缓
劈面,对面
主义,目的
指示,教唆
可贵,珍贵
吊儿郎当,游手好闲
翱翔,飞翔
力壮身强,身强力壮
好佚恶劳,好逸恶劳
转变,改革
燕处危巢,鱼游沸鼎
反抗,抗拒
剃头,理发
毒酒,鸩酒
暖和,温煦
烧饭,煮饭
五体投地,顶礼膜拜
活蹦乱跳,活蹦活跳
旭日,朝日
沾污,玷辱
化险为夷,转败为胜
焕然一新,焕然如新
璀璨,艳丽
贫乏,贫穷
那儿,那里
作怪,捣鬼
展望,预计
勤劳,用功
心腹,知心
热泪盈眶,百感交集
惊讶,诧异
自傲,自满
声势,阵容
精致,考究
朝笑,讪笑
填充,弥补
倒背如流,对答如流
喜欢,嗜好
指责,质问
爽利,爽气
油滑,调皮
天从人愿,求仁得仁
唯利是视,惟利是视
传风搧火,兴风作浪
盛行,风靡
对策,方法
守卫,护卫
一反其道,一反常态
备案,立案
效力,着力
斗气,赌气
井蛙之见,瓮天之见
归附,规复
岂非,难道
空额,缺额
知己,知音
名望,职位
冒失,莽撞
充足,饱和
舒坦,舒心
枯木逢春,枯树开花
憨实,淳朴
带动,带头
习以为常,听而不闻
失约,负约
摆尾摇头,摇头摆尾
旧念复萌,旧病复发
独辟蹊径,自我作故
别无长物,阮囊羞涩
乞求,哀求
如醉如痴,神魂颠倒
敷衍了事,粗制滥造
发誓,立誓
含义,涵义
夙兴夜寐,夙兴昧旦
暂时,权且
一纸空文,纸上谈兵
一清二楚,清清楚楚
执迷不悟,翻然悔悟
算计,阴谋
违反,违犯
唇揭齿寒,殃及池鱼
托庇,托福
妇孺皆知,老妪能解
万种,百般
孳乳,繁殖
繁芜,零乱
心有余悸,惊弓之鸟
以为,合计
凶暴,犷悍
形式,样子
安家乐业,家给人足
嘁嘁喳喳,嘁嘁嚓嚓
夫倡妇随,比翼双飞
住宿,过夜
教会,熏陶
去危就安,转危为安
委派,委用
完好,完美
旅社,旅舍
得意,称心
脚迹,踪迹
争奇斗艳,尽态极妍
改步改玉,改玉改步
平昔,从来
奶名,小名
载歌载舞,手舞足蹈
勾留,徘徊
除去,除掉
街谈巷语,街谭巷议
一面,部分
按部就班,墨守成规
训练,练习
清楚,理解
发明,发现
协谋,同谋
挑逗,撩逗
发人深省,振聋发聩
矜持,谦和
连忙,马上
回忆,追念
双管齐下,并驾齐驱
空闲,闲暇
兵荒马乱,海水群飞
猛然,骤然
侵扰,骚动
畏怯,畏惧
范例,表率
求亲告友,求亲靠友
侦视,探察
不一而足,层出不穷
坐视不救,见死不救
问题,题目
悉力,致力
阴毒,恶劣
看穿,识破
庞杂,混乱
奔波,奔走
叮咛,嘱咐
真诚,虔诚
刚直,高洁
语重心长,谆谆告诫
入木三分,力透纸背
为鬼为蜮,魑魅魍魉
恫疑虚喝,虚张声势
真心,至心
平板,死板
戒备,警戒
严重,危机
难乎为继,难以为继
相似,彷佛
剿除,清剿
雕刻,雕琢
昨非今是,非昔是今
刺探,打听
狂妄,疯狂
赞成,赞许
分钗破镜,分鞋破镜
广博,遍及
谬误,过失
学富五车,满腹经纶
拔新领异,标新立异
嘲笑,戏弄
出处,来历
商量,沟通
沉默,默默
原始要终,原始见终
乐天,开朗
乡里,同乡
传播,鼓吹
天从人愿,心想事成
朋党比周,结党营私
可恨,可憎
一无是处,百无一是
悬梁,自缢
寒舍,蓬荜
丰沛,充沛
暴殄天物,霸王风月
半死不活,奄奄一息
心悦诚服,服服贴贴
沽名吊誉,沽名干誉
言行若一,说到做到
高峻,魁梧
凶人,恶人
强盛,富强
宫廷,宫阙
奇妙,奥密
我晕,晕倒
推测,臆想
流窜,流落
以词害意,以辞害意
庞杂,宏伟
怠忽,马虎
浅显,粗浅
芜秽,荒凉
编录,辑录
对照,比较
严办,严处
一官半职,一资半级
爽快,直爽
广大,无边
灾祸,苦难
义无反顾,义形于色
挂念,牵记
奇特,神奇
入伍,参军
夜长梦多,朝令暮改
快乐,愿意
慌慌张张,魂不附体
随遇而安,隐世无争
允诺,同意
人定胜天,成事在人
新闻,消息
凡间,尘世
赞助,赞同
物业,资产
喜欢,热爱
牵累,连累
借口,捏词
栩栩如生,生龙活虎
变卦,变更
关怀,眷注
刁滑,奸诈
绝无仅有,见所未见
嬉戏,游戏
昏暗,阴郁
不通,欠亨
夫唱妇随,鹿车共挽
棍骗,欺骗
告别,辞行
三亲六故,三朋四友
生事,肇事
正好,赶巧
抟心壹志,抟心揖志
欢乐,欢腾
为富不仁,土豪劣绅
劳绩,收获
凋谢,衰落
警告,警戒
倾心,崇拜
传扬,鼓吹
反省,检讨
甜言蜜语,巧言令色
感染,熏染
人员,职员
路线,道路
临池学书,宵衣旰食
清词丽句,清辞丽曲
高风劲节,高风峻节
水手,海员
前沿,预兆
组织,集体
永久,长期
几许,多少
一天,成天
荒芜,萧条
体例,体制
遮掩,遮盖
厘正,更正
一曝十寒,浅尝辄止
晚节不保,晚节不终
水滴,水点
寸积铢累,聚沙成塔
严阵以待,枕戈待旦
手段,手法
也许,大略
交兵,交手
懒散,散逸
诛求无已,贪得无厌
岸然道貌,道貌岸然
高尚,高雅
事后,过后
悲哀,悲痛
保护,维护
告急,急急
上古,远古
访佛,类似
妙趣横生,相映成趣
春笋怒发,春色满园
单手,徒手
优美,幽雅
苦尽甘来,雨过天晴
实在,真实
追风逐电,风驰电掣
总共,系数
假冒,充作
幼稚,稚子
消磨,耗费
朴实,节俭
泪干肠断,泪迸肠绝
选兵秣马,选士厉兵
昏暗,黯淡
喜笑颜开,笑逐颜开
公允,公平
勇敢,勇猛
消灭,袪除
消声匿迹,鸣金收兵
安闲,平静
逃墨,逃禅
出处,因由
繁盛,荣华
深谋远虑,长算远略
成恳,老实
惨无天日,暗无天日
忻悦,雀跃
宽大,广阔
抱残守缺,抱残守阙
恭恭敬敬,毕恭毕敬
依然,仍然
瘦弱,虚弱
创造,发现
疆域,边境
满目疮痍,百孔千疮
购买,进货
相识,认识
仰之弥高,高不可攀
召唤,号召
杂用,杂费
最先,首先
恋恋不舍,流连忘返
经世之才,经济之才
伴随,陪同
古怪,诡秘
牢狱,监狱
相似,相符
法则,礼貌
公而忘私,舍生取义
交代,叮嘱
兴奋,开心
兴亡,富足
秘密,隐私
无拘无束,行云流水
抑塞,苦闷
造成,酿成
贯串,链接
敬仰,酷爱
周密,精细
坚持,宝石
赞叹,赞扬
取代,替代
奸滑,奸猾
转化,变更
应承,同意
博古通今,博学多才
天差地别,天悬地隔
边沿,边际
出口成章,脱口成章
骄奢淫佚,骄奢淫逸
神色,样子
恳挚,陈恳
传颂,歌唱
平日,通常
奢侈,糟蹋
相见,相逢
博闻强识,见多识广
虚假,虚幻
提神,细心
一命归西,一命归阴
发慌,慌张
哺育,教养
大路,通衢
好像,宛然
浪蝶狂蜂,狂蜂浪蝶
百身何赎,百身莫赎
拐骗,诱拐
倏忽,顿然
高谈阔论,夸夸其谈
揣度,揣测
入神,出神
倾肝沥胆,披肝沥胆
注意,注目
披坚执锐,被坚执锐
觳觫,颤抖
庸庸碌碌,碌碌无为
了解,分解
以夜继日,以夜继朝
功成身退,功遂身退
爱怜,爱惜
优秀,卓越
芜杂,零乱
凄凉,苦衷
酒绿灯红,醉生梦死
桑中之约,桑间之约
元首,率领
交换,调换
私交,私情
议决,通过
彩选,遴选
以牙还牙,以眼还眼
日征月迈,日月逾迈
即使,纵使
春光明媚,春深似海
好货,妙品
倾家荡产,家徒四壁
天后,破晓
欢乐,高兴
愁肠,难过
缺点,错误
弃明投暗,明珠暗投
车水马龙,熙熙攘攘
嫩枝,嫩芽
压榨,欺压
观念,观点
浪费,糜掷
离心离德,钩心斗角
阴晦,阴暗
共同,合伙
不敢问津,无人问津
寂寞,僻静
利落,竣工
恋情,爱情
倾心,向往
毛笔,羊毫
独树一帜,独竖一帜
表扬,颂扬
收效,见效
才干,才略
反击,反攻
风仪,风韵
人事代谢,新陈代谢
疏落,稀少
言外之意,音在言外
广大,开阔
空闲,闲逸
视察,调查
一命呜呼,一瞑不视
客店,旅馆
不置可否,模棱两可
依附,寄托
困穷,障碍
心旷神怡,悠然自得
共识,共鸣
急如星火,火烧眉毛
罪恶,罪责
反对,阻扰
决斗,格斗
死灭,逝世
因祸得福,塞翁失马
真挚,诚实
专程,特意
断齑画粥,节衣缩食
外族,异族
儿子,男儿
尊崇,爱戴
养痈成患,后患无穷
不了了之,置之不理
稀罕,罕见
变本加厉,无以复加
腰包,银包
赶快,迅速
举世,全球
叫苦不迭,叫苦连天
寂然,寂寥
束手待毙,负隅顽抗
着重,珍视
努力,竭力
哀鸿,灾民
称颂,讴歌
完毕,完结
滞碍,窒息
仇家,怨家
煽惑,怂恿
风度,风范
衣着,衣裳
完婚,结婚
探寻,探索
京城,国都
忠贞不渝,始终不渝
整顿,整饬
告成,胜利
不教而杀,不教而诛
巴结,奉迎
势成骑虎,进退维谷
开发,开荒
白璧微瑕,遐不掩瑜
耀武扬威,无法无天
安稳,平稳
中土,华厦
委靡,疲劳
申报,申诉
荒淫无耻,荒淫无度
市无二价,童叟无欺
阴差阳错,鬼使神差
侮辱,凌辱
大喜过望,如获至宝
是非,黑白
查看,稽察
触类旁通,问羊知马
粗枝大叶,轻描淡写
形劫势禁,形格势禁
交代,交接
充足,充斥
以己度人,推己及人
亨通,顺遂
美名,嘉名
济困扶危,见义勇为
嘲笑,嘲讽
悠闲,闲适
少有,稀奇
协调,和洽
伪造,杜撰
亲睦,融洽
家常里短,家长里短
齐足并驱,并驾齐驱
公函,公文
壅闭,阻滞
诘难,非难
南柯一梦,槐南一梦
早晚,朝夕
名贵,真贵
繁盛,热闹
血流成河,血流成渠
存放,寄放
反对,抗议
晋级,袭击
按照,遵守
害怕,惊恐
勉强,尽力
悄悄,默默
佶屈聱牙,诘诎聱牙
展现,浮现
一叶知秋,见微知著
云表,云霄
减省,节减
夫役,脚夫
能上能下,能官能民
欢送,送行
终结,结束
妨碍,打击
公布,公开
刷洗,洗擦
字字珠玉,字字珠玑
相接,相连
左右,旁边
申斥,斥责
半信半疑,半疑半信
入席,出席
夫妇,配偶
陡峭,险峻
戏谑,戏弄
推却,谢绝
干脆,拖拉
再嫁,重婚
公愤,群愤
拯济,救济
半信不信,半疑半信
主义,宗旨
肥大,肥硕
佩服,拜服
僵化,僵硬
湮塞,阻塞
其余,别的
别开生面,标新立异
倾覆,颠覆
三年化碧,苌弘化碧
和缓,安宁
洪福齐天,福星高照
全盘,悉数
纠缠,胶葛
明日,通晓
一唱一和,雄唱雌和
阐扬,阐明
戕害,摧残
失落,遗失
全面,全数
歇工,罢工
爱屋及乌,相濡以沫
就义,殉难
严肃,严苛
放弃,牺牲
坚挺,坚硬
功夫,本领
戳穿,揭露
姿态,容貌
偷鸡摸狗,偷鸡盗狗
不知纪极,贪得无厌
原先,原来
寒碜,寒酸
念念有词,振振有词
硕果仅存,鲁殿灵光
吹奏,演奏
原由,缘故
例如,比方
挨肩搭背,摩肩接毂
无人之地,无人之境
小心,慎重
渔翁得利,渔翁得利
两袖清风,洁身自好
开幕,开张
扫除,袪除
存亡,死活
归根结蒂,究本究源
管窥筐举,才疏学浅
姿容,状貌
无所顾惮,肆无忌惮
迸发,迸射
一言半句,一言半辞
奸滑,狡滑
片时,须臾
八斗之才,文江学海
瘦骨嶙峋,骨瘦如柴
妥当,恰当
声泪俱下,泪如泉涌
渐不可长,防微杜渐
东南之秀,东南竹箭
妄想,打算
刻骨铭心,镂骨铭心
歌颂,赞赏
岁月,时期
四分五裂,瓜剖豆分
青睐,酷爱
形势,时事
奴婢,跟班
异常,极度
令人喷饭,令人齿冷
重叠,雷同
准许,核准
包含,蕴涵
探口而出,脱口而出
气宇,风韵
义军,义师
出众,绝伦
牛溲马勃,无足轻重
亲睦,亲善
精粹,精练
筹划,计划
僧多粥少,鱼大水小
一视同仁,相提并论
性能,职能
肥胖,臃肿
阻隔,隔离
仁慈,慈祥
帆船,风帆
侵掠,抢掠
入境问俗,因地制宜
宁静,恬静
大相径庭,天壤之别
饥不择食,饮鸩止渴
担任,负担
教育,教悔
一清二楚,历历在目
按照,按理
泥塑木雕,铁石心肠
以屈求伸,以柔克刚
阴毒,凶恶
艰涩,阻塞
拜候,看望
预备,打算
灾梨祸枣,粗制滥造
习性,风俗
崇高,显贵
旁若无人,目中无人
狼奔鼠窜,鼠窜狼奔
自得,骄矜
囤积居奇,待价而沽
约请,邀请
新生,鼎盛
怡情养性,怡情悦性
压抑,压制
了如指掌,一目了然
善意,好意
抑低,抑制
不骄不躁,戒骄戒躁
修明,昌明
心魄,灵魂
即位,登位
情况,景况
白驹过隙,驷之过隙
冻结,凝结
零落,衰落
友善,友爱
困难,艰巨
团结,联接
学塾,学校
讪谤,诬蔑
牺尊,牺牛
刚强,阳刚
证实,说明
叩首,磕头
领悟,分解
常常,经常
全都,统统
云窗月帐,云窗月户
一唱三叹,字正腔圆
安乐,安适
光顾,帮衬
潸潸,霏霏
春风夏雨,春风风人
痊可,痊愈
倡导,建议
伤悼,追悼
刮目相待,刮目相见
协助,协理
否极泰来,绝处逢生
名不虚传,名副其实
希冀,盼望
舛误,舛错
缺漏,罅漏
名不副实,言过其实
独辟蹊径,别出机杼
如此,这样
连接,连结
调治,调理
浪潮,海潮
毗邻,链接
强盛,壮大
皇亲国戚,高官厚禄
虚心,谦虚
歧视,看轻
寻常,平时
霎时,须臾
聪明,聪敏
商标,牌号
旅社,旅店
珠联璧合,珠连璧合
紧急,迫切
厉害,犀利
买椟还珠,反裘负薪
星星点点,星星落落
挂一漏万,支离破碎
刨根问底,寻根究底
雄伟,高大
典雅,高贵
会计,司帐
伶牙俐齿,辩口利舌
贬价,跌价
兴盛,振兴
开仗,开火
以假乱真,似是而非
溢美之言,溢美之词
头颅,脑壳
奉行,实行
真挚,诚恳
荒谬,错误
因噎废食,见噎废食
垂危,垂死
怒形于色,老羞成怒
庇护,爱戴
要领,门径
到达,达到
蜕变,变动
想念,牵记
冷漠,疏远
角落,边际
恍然大悟,憬然有悟
连接,邻接
山珍海味,炊金馔玉
处置,处分
势不可当,势不可挡
景象,风景
会合,集中
小数,少量
悠闲,赋闲
熟视无睹,视而不见
紧张,紧绷
如胶似漆,情投意合
鬼头鬼脑,鬼鬼祟祟
田园,梓里
直言不讳,秉笔直书
家眷,眷属
幽静,肃静
东摇西摆,首鼠两端
延聘,聘请
妄想,妄图
东窗事发,水落石出
酌古沿今,饮水思源
俭仆,节俭
秀颀,颀长
乌黑,漆黑
兵不厌权,兵不厌诈
凄凉,苦处
阻隔,间隔
冷漠,冷淡
看穿,看破
川资,盘费
红色,血色
鹰瞵鹗视,鹰觑鹘望
刁猾,狡猾
失期,食言
方剂,药品
品德,德性
孤独,孤苦
天性,本性
正派,礼貌
撤军,退兵
固执,执著
恩同父母,恩逾慈母
木材,木柴
装扮,装饰
细碎,零星
危崖,绝壁
六月飞霜,飞霜六月
圆滑,耿直
训戒,训诫
协助,帮忙
个性,脾气
用意,蓄志
万紫千红,姹紫嫣红
不世之功,丰功伟绩
神不收舍,神不守舍
恬逸,舒适
何乐不为,迫不得已
亲近,靠近
夜以继日,废寝忘食
浓郁,浓重
出家,落发
不以为然,不敢苟同
推绝,谢绝
不幸,悲惨
兼听则明,集思广益
青面獠牙,龇牙咧嘴
分析,理解
弊端,弱点
十拏九稳,易如反掌
厚道,诚笃
打家劫舍,谋财害命
体面,颜面
属员,部属
闳意妙指,闳意眇指
年富力强,血气方刚
一事不知,一物不知
思量,缅怀
毛病,瑕疵
新婚燕尔,燕尔新婚
掌握,掌管
再三,几次
劝化,影响
永世,永远
人云亦云,矮人看场
健壮,健康
意马心猿,三心二意
境遇,际遇
罪不容诛,死不足惜
答允,承诺
如获至珍,如获至宝
土牛木马,土鸡瓦犬
恳挚,殷切
飞鸿印雪,飞鸿雪爪
厮混,胡混
弊端,缺陷
劝止,劝阻
正规,正轨
奔跑,奔驰
假冒,假装
戴月披星,水宿风餐
克制,战胜
措施,方法
奔放,豪放
暴殄天物,挥金如土
再作冯妇,重操旧业
扰乱,阻挠
鸠居鹊巢,鸠占鹊巢
一同,一齐
洒脱,萧洒
神棍,耶棍
怀疑,猜忌
赓续,陆续
堤防,留神
感叹,慨叹
夸耀,显示
抵抗,招架
背本就末,背本趋末
不断,接续
德行,德性
敛声屏息,敛声屏气
从军,从戎
年光,时光
绵力薄材,缚鸡之力
消磨,花费
搜索,搜罗
保温,御寒
充裕,满盈
才力,本领
烦文缛礼,繁文缛礼
提要,纲要
下笔,动笔
勾消,抹煞
任务,劳动
见利忘义,见钱眼开
疏落,枯萎
华冠丽服,峨冠博带
卖弄,炫夸
瞻仰,景仰
孤单,独立
勇而无谋,有勇无谋
围绕,环抱
倒行逆施,逆施倒行
夏虫疑冰,夏虫语冰
杯中蛇影,杯弓蛇影
涌现,浮现
安稳,稳重
惨重,沉重
适合,适当
罅隙,裂缝
失手,败事
左右,独揽
山崩钟应,洛钟东应
烦懑,苦恼
疏忽,纰漏
满山遍野,漫山遍野
挺身而出,毛遂自荐
干脆,畅快
借口,托词
心思,心情
料到,猜度
匮乏,缺少
惊心眩目,眩目惊心
愿望,理想
屹立,高耸
大快朵颐,大饱口福
禁锢,羁系
骗取,欺骗
席珍待聘,待价而沽
举荐,推荐
全力,戮力
不休,不息
人山人海,摩拳擦掌
多此一举,明知故问
得罪,获咎
晓得,知晓
闭门不出,韬光养晦
带累,遭殃
不分玉石,玉石俱焚
耀武扬威,趾高气扬
人世,尘世
达官显宦,土豪劣绅
密集,聚集
冷枪,黑枪
现存,现有
仔肩,职守
婉曲,微辞
俭约,扑实
支配,驾御
富丽,绚丽
俊秀,清秀
申斥,责怪
发觉,察觉
慎密,精密
下降,降下
死灭,殒命
再造,更生
明白,通晓
三告投杼,众口铄金
关照,看护
叩问,打听
美意,好意
明灭,闪耀
进度,进程
基础,根柢
俭约,节流
推度,猜想
吵闹,嘈吵
无穷,无量
一衣带水,近在咫尺
力气,气力
青灯黄卷,黄卷青灯
各处,随处
溃不成军,风声鹤唳
快慰,慰藉
添补,补充
专心,同心
技能,本事
华而不实,言之无物
休歇,停止
光耀,鲜丽
懊丧,颓丧
历害,猛烈
破裂,粉碎
矢语,赌咒
奏凯,班师
一如既往,始终如一
包罗,征求
以毒攻毒,针锋相对
沉渣泛起,沉滓泛起
产品,居品
大约,约莫
自立,独立
灾殃,灾荒
感化,熏陶
到底,终究
创办,开创
坚苦,贫困
死亡,物化
新婚燕尔,洞房花烛
合意,满意
引咎自责,自怨自艾
利市,顺利
珍重,珍贵
沿波讨源,沿流讨源
常常,频频
多如牛毛,屡见不鲜
柔弱,柔顺
敞亮,明亮
建树,成就
云中仙鹤,云中白鹤
天塌地陷,山摇地动
年深岁久,年深日久
开发,拓荒
违反,背离
柔媚,柔顺
博得,取得
安逸,称心
包庇,掩护
祸殃,灾荒
组合,连合
不伦不类,正襟危坐
流寇,流落
乱来,糊弄
溃不成军,望风披靡
倾泻,流泻
名不副实,徒有虚名
动荡,摇荡
无疑,相信
吞吐,含糊
从前,畴昔
怅惘,惆怅
商店,市廛
法眼,高眼
谈古说今,谈笑风生
水火不容,格格不入
浅显,浅近
扬弃,遗弃
出洋,放洋
憔悴,枯槁
果断,顽强
合拢,并拢
叫喊,吆喝
领会,领略
指手划脚,评头品足
污蔑,诬蔑
三翻四复,三心二意
顶峰,极峰
效劳,服从
仰不愧天,堂堂正正
前车可鉴,重蹈覆辙
雄壮,雄浑
大纲,纲目
含蓄,间接
争长竞短,争长论短
检验,检讨
案兵束甲,案甲休兵
哗变,背叛
限制,限度
层见迭出,屡见不鲜
梁上君子,道貌岸然
傲慢,自高
刚直,耿介
借单,借条
潇洒,超逸
舒徐,缓慢
魔难,灾难
讨好,谄谀
利齿能牙,灵牙利齿
弃恶扬善,遏恶扬善
纯碎,纯洁
容身,驻足
抛弃,遗弃
功成不居,戒骄戒躁
仰仗,凭借
肩负,负担
寸心,寸衷
束之高阁,置之度外
会见,见面
组合,聚合
除旧布新,自我作故
外厉内荏,外强中干
苦尽甘来,苦尽甜来
愚公移山,持之以恒
无赖,混混
熔于一炉,难分难解
往来,交游
吊民伐罪,锄强扶弱
倏然,瞬间
远离,阔别
患得患失,斤斤计较
经文纬武,经武纬文
犹豫,徘徊
疑神疑鬼,杯弓蛇影
呵斥,谴责
食古不化,食而不化
尽头,极端
千里无烟,荒无人烟
简易,简陋
性命,生命
安安心心,平心静气
乐不可支,乐在其中
滚条,滚边
松手,罢休
才智,才气
兴办,征战
