屏声敛息,屏气敛息
潜形匿迹,潜形谲迹
书信,函件
酸楚,酸涩
僧人,头陀
失礼,无礼
手简,手翰
撒布,散布
权利,权益
抬举,抬爱
屏声息气,屏气慑息
和暖,温暖
迫近,亲近
往复,往返
邃晓,通达
甜睡,酣睡
停当,妥帖
诬害,诬陷
天翻地覆,时移俗易
俄顷,斯须
完善,完竣
清灰冷火,清灰冷灶
丝丝入扣,环环相扣
河溓海夷,河溓海晏
会面,会见
宏壮,盛大
启程,起程
平庸,平方
偷活,贪生
全力以赴,全心全意
平坦,平展
恩惠,恩泽
浩大,浩瀚
上了贼船,误入歧途
沁人心脾,神清气爽
溯流穷源,溯流追源
时不再来,时不我与
商量,洽商
拖延,迁延
韬光灭迹,韬迹隐智
上网,上钩
贫乏,贫苦
桑间之音,桑间濮上
投降,顺服
岁不我与,时不我待
舍己从人,舍己就人
伤害,危害
牵扯,牵涉
破绽,缺陷
情况,情景
和煦,和畅
华而不实,好高骛远
委托,托福
潜精研思,潜精积思
挥汗如雨,汗流浃背
事务,事宜
搜求,搜寻
衾影无惭,问心无愧
推卸,推脱
停战,停火
身体,身段
试验,试验
平静,清静
悔恨,悔悟
强人,铁汉
铁杵成针,铁杵磨针
贪求无厌,贪求无已
天后,平明
耳食之论,耳食之谈
扫数,全盘
骇人听闻,骇人视听
平淡,平常
汗如雨下,汗流浃背
恩仇,恩怨
同利相死,同恶相济
同伴,朋侪
片刻,斯须
唆使,挑拨
千回百折,千回百转
受愚,受骗
情随事迁,水涨船高
忽视,玩忽
火烧眉毛,迫在眉睫
气贯长虹,气吞山河
神出鬼没,神妙莫测
特出,特别
忘掉,忘记
偏僻,肃静
无所作为,无所用心
完稿,脱稿
平定,平息
五彩斑斓,五彩缤纷
花卉,花草
望而却步,缩手缩脚
荒废,荒芜
屈折,盘曲
拖拖拉拉,拖泥带水
完全,实足
失信,失约
侵吞,侵害
疏忽,松弛
完好,完备
挥泪,洒泪
侵占,抢掠
失守,失陷
同时,同期
私人,私家
味同嚼蜡,味如嚼蜡
太平,平和
剽悍,强悍
通顺,顺心
伺候,侍候
微言大义,微言大谊
侵蚀,侵害
使令,派遣
合同,契约
同归殊涂,殊途同归
平平淡淡,普普通通
头昏眼花,头昏目眩
熟视无睹,视若无睹
舒服,顺心
偏私,偏颇
特为,特别
唯命是从,唯唯诺诺
推诿,推辞
排击,排击
推卸,推托
破碎,破裂
亲友,亲朋
清新,清澈
无地自厝,无地自处
推命,推步
熟手,熟稔
逃脱,逃走
舞文弄法,舞文玩法
首尾相卫,首尾相援
缩小,缩短
贪杯,贪酒
随声趋和,随声附和
说古谈今,谈今论古
同声相应,情投意合
三江七泽,三江五湖
评比,评选
商店,商铺
水到渠成,顺理成章
市欢,趋奉
三妻四妾,三宫六院
活动,活跃
婆婆妈妈,拖泥带水
毁不危身,毁不灭性
深谋远虑,深思熟虑
杀身成仁,铁面无私
授与,赏赐
侵凌,侵犯
清理,清算
企望,祈望
披垂,披散
昏迷,糊涂
凄凉,凄沧
声响,声音
深厚,深邃
卧室,寝室
贫贱之交,贫贱之知
手足胼胝,手足重茧
妥当,妥善
山明水秀,水木清华
昏头搭脑,昏头昏脑
身不由主,身不由己
屈驾,枉顾
束手待死,束手待毙
飘荡,飘舞
破坏,破损
好处,甜头
朴实,朴素
三六九等,三等九格
旺盛,蓬勃
韬光养晦,韬光用晦
趋势,趋向
趋利避害,违害就利
拼凑,拼集
轻便,轻省
松捆,松绑
听从,顺从
恩威并用,恩威并著
群集,齐集
昏黑,黑暗
恩典,恩情
素养,素质
跳动,跳跃
欺诈,讹诈
守口如瓶,守瓶缄口
天壤之隔,天壤之别
亲眼所见,耳闻目睹
师出无名,平白无故
其它,其余
天才,天赋
恨之入骨,深恶痛绝
水果,生果
推三推四,推三阻四
天高听下,天高听卑
还淳反朴,还淳返朴
唯利是视,唯利是求
片刻,霎时
死亡,弃世
粟红贯朽,粟陈贯朽
时刻,时间
山崩地裂,山崩地陷
神谟庙算,神谟远算
水火无交,水米无干
天翻地覆,事过境迁
环视,环顾
生硬,生疏
外患,外祸
土人,土着
轻茂,轻视
颓丧,丧气
实践,实际
起始,起点
文章宗工,文章巨公
惶恐,慌张
威信,威风
签字,署名
提出,疏远
舞动,跳舞
狐鸣篝火,狐鸣鱼书
祸害,祸殃
祸根,祸胎
狐兔之悲,狐死兔泣
设宴,设席
平宁,平安
死中求生,死里求生
旁门,歪路
无缘无故,平白无故
时兴,时髦
天子,皇帝
清都紫府,清都紫微
批亢捣虚,批吭捣虚
取得,获取
剖析,剖释
剖心坼肝,剖心析肝
无千待万,无千无万
欢欣,欢娱
违心之言,违心之论
回答,回话
排泄,排除
神色,神采
沆瀣一气,通同一气
沃土,沃壤
轻捷,轻盈
退徙三舍,退避三舍
前所未有,史无前例
轻手软脚,轻手轻脚
树模,示范
上司,上级
无伤大雅,无关大局
索取,索要
爽朗,爽快
切齿腐心,深恶痛绝
亨衢,通衢
推度,探求
思索,思考
松懈,停懈
夙昔,往时
为蛇添足,为蛇画足
好汉,豪杰
漂泊,漂流
赔礼,赔罪
委实,确实
生拖死拽,生拉硬扯
剜肉医疮,剜肉补疮
壶中日月,壶里乾坤
稳健,稳重
七颠八倒,五角六张
批准,核准
舍己为人,舍生取义
听之任之,听其自流
手腕,花招
无计可施,黔驴之技
添枝加叶,添油加醋
守御,戍守
听而不闻,视而不见
侮弄,玩弄
轻口薄舌,轻口轻舌
天理难容,天理昭彰
轻车简从,轻骑简从
轻言寡信,轻诺寡信
强盛,焕发
威胁,威逼
欺侮,欺凌
停歇,停滞
威名,威望
其实,实在
画虎不成,画虎类犬
思索,思量
探亲,省亲
颓败,颓靡
拾获,拾遗
文房四侯,文房四宝
危言耸听,耸人听闻
握拳透掌,握拳透爪
凸起,突出
清心少欲,清心寡欲
求教,请问
滔滔不绝,娓娓而谈
晚上,黄昏
划一,齐截
涕泣,涕零
特性,特质
伸展,膨胀
清除,肃清
轻而易举,顺风吹火
妄言,谎话
千姿百态,无奇不有
额手相庆,额手称颂
唆使,挑唆
平静,僻静
何况,而况
齐备,完备
文过饰非,讳疾忌医
设立,设置
化整为零,化零为整
劈头,起源
秋毫之末,无足轻重
三令五申,三申五令
器具,器用
问牛知马,问羊知马
情义,情谊
弃文就武,投笔从戎
时候,时期
微风,轻风
权略,权术
凄风寒雨,凄风苦雨
害病,患病
搧动,挑唆
望风而逃,望风披靡
屈服,顺服
树怨,树敌
熟识,熟谙
体系,体制
取利,投机
侵蚀,侵略
狐假虎威,狐虎之威
海枯石烂,石泐海枯
千钧一发,迫在眉睫
活泼,活跃
祸福同门,祸福无门
欺诈,期骗
伤口,伤痕
推敲,思考
弃甲丢盔,弃甲负弩
平滑,滑润
势不两立,势如水火
昏暗,灰暗
好友,深交
讨好,趋附
培植,提拔
仆欧,侍役
昏昏欲睡,昏头昏脑
强壮,强大
塞责,搪塞
顺利,顺手
务实,求实
豁达,豪迈
切齿腐心,切齿痛恨
三位一体,水乳交融
批准,同意
强弩之末,强弩末矢
婚典,婚礼
活力,生机
熟魏生张,生张熟魏
平日,平居
扑实,朴质
海誓山盟,矢志不移
害怕,畏缩
和光同尘,浑俗和光
托言,托词
全体,全豹
实行,推行
特意,特特
深渊,深谷
魂不着体,魂不附体
说长话短,说长说短
千岁一时,千载一时
威严,威厉
统帅,统领
梢公,海员
投其所好,曲意奉迎
万死一生,危如累卵
盛情,盛意
求学,求知
切磋,商议
二话不说,二话没说
天分,天生
书本,书籍
推却,推托
时光,时间
天涯,海角
魂飞魄丧,魂飞魄越
少女,青娥
停息,停滞
无拘无束,无拘无缚
情况,环境
逃脱,脱逃
帏箔不修,帏薄不修
熟悉,熟知
天长地久,天长日久
尸体,尸首
扑素,素净
奇谋,神算
停当,稳妥
顺风使船,顺风驶船
破钞,破耗
欢声笑语,谈笑风生
挥动,挥舞
杞人之忧,杞人忧天
跳班,跳级
田园,田野
首脑,头领
去世,亡故
混闹,胡闹
求情,说情
片时,少焉
十步芳草,十步香草
兔死狐悲,物伤其类
渗出,渗透
夙兴夜寐,起早摸黑
痛快,索性
旗鼓相当,棋逢对手
玩赏,赏玩
祸根,祸端
失掉,失落
恶积祸盈,死有余辜
厚古薄今,是古非今
束手束脚,束手束足
坏蛋,恶人
惬意,舒畅
和善,温和
琵琶旧语,琵琶胡语
束手束脚,束手缚脚
清扫,驱除
谦善,谦虚
无能,窝囊
头子,头领
无所不包,无所不容
后退,畏缩
衰亡,颓废
派司,牌照
损害,破损
千人所指,千夫所指
气冲牛斗,气壮山河
事必躬亲,事无巨细
五颜六色,花花绿绿
生存,生计
水楔不通,水泄不通
牲口,牲畜
情同手足,情逾骨肉
沙岸,沙滩
品味,品尝
试探,试验
偏僻,偏远
书香门户,书香门第
矢忠不二,誓死不二
勤勉,勤苦
五洲四海,四面八方
同僚,同寅
攀话,攀谈
危急,危害
花样,花色
喂养,豢养
吐心吐胆,吐肝露胆
无所不为,无所不至
审阅,核阅
团员,团聚
实话实说,无可讳言
浅白,浅近
毫不在意,毫不介意
说短论长,说长论短
挥戈反日,挥戈回日
骑牛觅牛,骑驴觅驴
千条万绪,千头万绪
沆瀣一气,浑然不觉
庞大,强大
好坏,黑白
五雷轰顶,天打雷劈
饿殍载道,饿莩载道
贫无立锥,贫无置锥
琼浆玉液,琼浆金液
统率,统领
河东狮吼,河东狮子
危急,危境
毁灭,袪除
奇珍异宝,无价之宝
同胞,同族
平坦,坦荡
温情,温顺
恬不为怪,无动于衷
权略,权谋
失望,扫兴
兀立,耸立
浩淼,浩渺
侵扰,骚扰
荒唐,荒诞
浑浑噩噩,胡里胡涂
魂不守舍,无所用心
切肤之痛,痛定思痛
天从人愿,天随人愿
探望,探问
和暖,温煦
恩义,恩德
拍手称快,普天同庆
实践,实习
伙伴,朋友
和睦,亲睦
商量,会商
谎言,谎话
无如之何,无如奈何
盼望,祈望
听从,听命
速即,随即
浩浩汤汤,浩浩荡荡
徒负虚名,外强中干
退却,推辞
深沟固垒,深沟壁垒
平手,平局
凄怨,颓唐
水净鹅飞,水尽鹅飞
时候,时辰
善解人意,通情达理
煞费心机,煞费苦心
抬高,提升
爽朗,坦率
时过境迁,水流花落
批判,批评
旗头,旗手
前方,前线
他山之石,前车之鉴
实繁有徒,实蕃有徒
天地,寰宇
排解,排遣
浅显,通俗
私宅,私邸
山珍海味,水陆毕陈
始终如一,始终不渝
望其肩项,望其项背
轻飘,轻盈
何以,何故
痛饮,酣饮
四分五裂,万众一心
好为人师,师心自用
深沟固垒,深沟高垒
哄动,轰动
深幽,僻静
枪林弹雨,身经百战
萎缩,衰落
窃窃私议,窃窃私语
疲钝,疲劳
恶贯满盈,无恶不作
旗子,旗帜
怀念,神往
切中时弊,切中时病
黄发骀背,黄发鲐背
货品,货物
衡石程书,衡石量书
书香世家,诗礼人家
蓬头赤脚,蓬头跣足
儿歌,童谣
虎入羊群,虎荡羊群
熟悉,熟练
含血喷人,破口大骂
往往,时常
天差地远,天悬地隔
前哨,前线
声援,缓助
诬告,诬陷
殊方同致,殊途同归
悔不当初,悔之无及
委曲,屈身
华侨,华裔
撒娇撒痴,撒痴撒娇
轻巧,轻松
搔头抓耳,搔头摸耳
斯文,温柔
肃然,骚然
清寒,贫困
去向,去处
升起,起飞
无心,无意
赏罚严明,赏罚信明
毁谤,谴责
后人,后裔
清寒,缺乏
失容,失神
横眉瞪目,横眉瞪眼
取消,破除
千端万绪,千绪万端
培修,维修
恰好,恰巧
劝导,劝解
吐哺捉发,吐哺握发
手忙脚乱,手足无措
亲如手足,情同骨肉
万古长存,万古长青
挺拔,特立
启发,启示
噩梦,恶梦
稍微,稍许
挺立,特立
气魄,派头
熟能生巧,耳熟能详
奇花异卉,奇花异草
势不两存,势不并立
七嘴八舌,七张八嘴
树立,竖立
推延,推迟
情深义重,情深意重
坍台,塌台
回响,回荡
齐趋并驾,齐驱并驾
天南地北,海阔天空
期求,祈求
清丽,清秀
贪婪,贪念
视人如伤,视民如伤
失容,失态
同流合污,誓不两立
函牍,文牍
素不相识,素昧平生
浅薄,浅陋
批驳,挑剔
妄图,盘算
骸骨,尸骨
说三道四,说东道西
遏制,遏止
骈肩叠迹,骈肩累迹
瞥见,瞧见
万里长征,千山万水
上午,上昼
害臊,怕羞
挑三拨四,挑三豁四
欺善怕恶,吐刚茹柔
回头,回来
好多,很多
缩衣节口,缩衣节食
害臊,害羞
体态,身形
三街两市,三街六市
天南地北,山南海北
乞降,求和
漱流枕石,漱石枕流
汗流接踵,汗流浃踵
拖拉,拖沓
矢言,起誓
黔驴之计,黔驴技穷
祸首,首恶
乞假,请假
七嘴八张,七张八嘴
偏护,袒护
活灵活现,活神活现
填充,添补
思如涌泉,文思敏捷
气魄,气魄
怙恶不悛,死不改悔
华屋丘墟,华屋山丘
恬不知羞,恬不知耻
情切,亲热
水米无交,水菜不交
随波逐流,随声附和
酣畅,舒畅
驱赶,驱逐
气满志骄,气骄志满
善事,好事
寝衣,睡衣
时运不济,生不逢时
平稳,稳定
顺人应天,顺天应人
停辛伫苦,停辛贮苦
回肠荡气,沁人肺腑
牵缠,牵涉
会谈,商谈
痛快,适意
亡羊补牢,收之桑榆
骑马寻马,骑马找马
叛变,叛逆
说一不二,说一是一
欺侮,污辱
签定,签署
探讨,讨论
杀一儆百,杀鸡骇猴
青黄不接,青黄未接
前倨后恭,前倨后卑
神态,神气
围城打援,围魏救赵
横科暴敛,横赋暴敛
童稚,童趣
谈判,会商
旗号,旗帜
普及,普遍
曲突徙薪,未雨绸缪
划一,齐整
损害,损伤
谦逊,谦虚
我行我素,铁石心肠
死里逃生,虎口余生
倘使,倘诺
体会,体认
事不关己,无关痛痒
气味,气息
恩断义绝,花残月缺
会集,汇合
三心二意,二三其意
望尘不及,望尘莫及
探听,探问
深入,深切
亲自,亲身
潜藏,闪避
企望,企图
剖心析胆,剖心析肝
谈判,商洽
五花八门,千变万化
抛荒,疏弃
饰词,托词
屈曲,曲折
勤劳,勤恳
胡作乱为,胡作非为
屈指可数,数一数二
花容月貌,花颜月貌
嘶哑,沙哑
前进,挺近
贪图,盘算
花消,花费
和顺,温和
神魂颠倒,神魂飞越
生成,天生
三贞九烈,三贞五烈
疲乏,无力
芜杂,混乱
好看,排场
同学,同砚
千真万确,无庸置辩
握云拿雾,握雾拿云
屠戮,杀戮
堂哉皇哉,堂而皇之
无济于事,画饼充饥
耳闻则诵,耳熟能详
头重脚轻,虎头蛇尾
清丽,清朗
会合,齐集
后继无人,后继有人
无名之朴,无名之璞
旁征博引,旁求博考
栖息,栖身
怀孕,怀胎
善心,好意
事先,事前
四分五裂,七零八碎
同乡,同亲
无地自容,无处藏身
歪风邪气,歪门邪道
条款,条件
污浊,混浊
守口如瓶,讳莫高深
使令,驱策
特地,额外
取青妃白,取青媲白
合计,算计
推波助澜,火上浇油
随心,随意
失色,失神
叹息,叹气
手舞足蹈,欢蹦乱跳
特地,特殊
偏爱,偏疼
沁人心脾,赏心悦目
评价,评估
天马行空,挥洒自如
平步青云,平步青霄
潜移嘿夺,潜移阴夺
七死八活,死去活来
和衣而卧,和衣而睡
体无完皮,体无完肤
穷乡僻壤,穷山恶水
土鸡瓦狗,土龙沐猴
偷活,偷生
黄发台背,黄发鲐背
挑选,筛选
后劲,潜力
文房四艺,琴棋书画
回味,体味
偏见,私见
好行小惠,好行小慧
什袭以藏,什袭而藏
滑稽,诙谐
山岭,山峰
说东谈西,说东道西
缺少,缺乏
闻风而动,闻风而逃
奢念,奢求
思绪,思路
天昏地暗,凄风苦雨
奇妙,奇怪
推动,推进
饿虎吞羊,饿虎扑食
收集,汇集
失和,树敌
清瘦,清癯
陪伴,随同
腾清,誊清
田庐,田里
回护,袒护
千载一会,千载一合
同化,混合
巧立名目,欺上瞒下
天之僇民,天之戮民
品学兼优,文武双全
四战之国,四战之地
推广,推论
望女成凤,望子成龙
评断,评议
平地,平川
提神,提防
失时,失机
宦官,太监
神使鬼差,神差鬼使
清闲,轻闲
滔滔汩汩,滔滔滚滚
起家,起身
手到拿来,手到擒来
花园,花坛
驷不及舌,驷马难追
收货,获利
合用,适用
威胁,威吓
片瓦不留,片甲不留
推襟送抱,推诚相见
庞大,宏大
土匪,强盗
忘生舍死,舍死忘生
探听,探询
叹为观止,无以复加
肮脏,龌龊
毁家纾难,舍身为国
千态万状,千状万端
味同嚼蜡,索然无味
气馁,丧气
太平,盛世
探究,探索
惟利是图,唯利是图
声气,声音
五光十色,五彩缤纷
欢跃,雀跃
违约,爽约
手不释书,手不释卷
披沙拣金,沙里淘金
弘大,宏大
山光水色,湖光山色
恨恶,讨厌
死刑,死罪
评论,谈论
气概,魄力
顽固,守旧
杞天之虑,杞人忧天
何关,何干
墙花路柳,墙花路草
清晨,破晓
忘乎所以,忘其所以
三告投杼,无中生有
幻境,幻景
千秋万代,天长日久
投宿,投寄
荒原,荒漠
问寒问暖,问长问短
翘首以待,拭目以待
胡涂,糊涂
神号鬼泣,神嚎鬼哭
设备,配置
透亮,透明
回击,还击
升天,逝世
片言只语,片言只字
疲钝,疲顿
惶惶,惶惑
王侯将相,王公贵族
舍弃,淘汰
荒唐,荒谬
四亭八当,四停八当
情味,情趣
位置,身分
石洞,石窍
山岭,山脊
铁板铜琶,铜琶铁板
倘佯,彷徨
伙伴,火伴
缺欠,缺点
何必,何须
回想,回忆
天旋地转,天摇地动
同日而论,同日而言
挑三嫌四,挑三拣四
琴瑟之好,琴瑟调和
评价,评判
顺利,胜利
横冲直撞,横行无忌
亡国之声,亡国之音
物品,货色
丧尽天良,无恶不作
威迫,威逼
搜集,网罗
巧语花言,花言巧语
舍己为人,舍身求法
碰巧,适逢
通令,通饬
昏庸,昏暴
千娇百媚,花枝招展
数米而炊,数米量柴
省却,省掉
擅自,私行
区分,区别
飘荡,飘摇
守节,守贞
伸张,舒展
恍恍惚惚,糊里糊涂
拖堂,拖课
外洋,海外
合适,适当
顺风使帆,顺风张帆
黍离麦秀,黍秀宫庭
闻风而动,闻风而起
搜聚,搜罗
特出,奇快
画荻丸熊,画荻和丸
韬光灭迹,韬光隐迹
和睦,温馨
乔妆,乔装
强壮,强健
探访,探询
缩衣节口,缩衣啬食
朋比为奸,朋比作奸
退回,送还
纨绔子弟,千金之子
横冲直撞,横行霸道
首级,首领
厚彼薄此,厚此薄彼
后背,后面
