离心离德,离经背道
吝啬,吝惜
两头和番,两面二舌
力争上游,力图上进
乐不思蜀,流连忘返
领会,领路
良友,良朋
伶俐,灵敏
力图,力求
滥竽充数,老婆当军
连续不断,连绵不断
啰唆,噜苏
流口常谈,老生常谈
冷不丁,冷不防
陋习,陋俗
林下风致,林下风韵
龙拏虎攫,龙拏虎跳
了解,领悟
流血漂卤,流血漂杵
遴考,遴选
留心,留神
轮替,轮番
庐山真面目,庐山面目
零乱,零碎
量体裁衣,量入为出
令妻,令阃
流浪,流落
力争,力求
龙争虎斗,龙战虎争
龙潭虎穴,龙潭虎窟
流离颠沛,流离颠顿
雷厉风行,雷霆万钧
林下风气,林下风范
乐而忘返,流连忘返
轮流,轮番
冷漠,冷酷
屡试不爽,屡试屡验
履险如夷,履险若夷
老妇人,老妪
乐尽哀生,乐极生悲
临渴掘井,临阵磨枪
流浪,流离
络绎不绝,连绵不断
沥胆堕肝,沥胆披肝
愣头愣脑,愣头磕脑
劳累,劳苦
留心,留意
连系,连络
龙腾虎掷,龙腾虎蹴
蠡测管窥,蠡酌管窥
联贯,连结
绿林豪客,绿林豪杰
零散,零碎
烂若披锦,烂若舒锦
龙争虎战,龙争虎斗
牢狱,缧绁
礼制,礼法
炼就,练就
落落寡合,落落难合
另眼相待,另眼相看
露胆披肝,露胆披诚
络续,陆续
临近,邻近
绿鬓朱颜,绿鬓红颜
龙御上宾,龙驭上宾
李郭仙舟,李郭同舟
令人捧腹,令人齿冷
流离,落难
泪如泉涌,泪如雨下
临渴掘井,临阵磨刀
牢固,牢靠
流利,流通
连合,连结
零卖,零售
乐于助人,乐善好施
连合,链接
两头,两端
林下风气,林下风韵
鲁阳挥戈,鲁阳麾戈
怜贫恤老,怜贫惜老
连宵彻曙,连宵达旦
冷情,冷酷
伶俐,灵便
戮力一心,戮力壹心
老妇,老媪
鳞次相比,鳞萃比栉
流连忘反,流连忘返
流离失所,离乡背井
良心,良知
懒怠,懒散
利息,利钱
连接,连续
龙精虎猛,龙马精神
泪如雨下,老泪纵横
联贯,陆续
懒怠,懒惰
泪如泉涌,泪眼汪汪
镂心刻骨,镂骨铭心
略胜一筹,略高一筹
流连忘返,留恋不舍
劳师动众,劳民伤财
连绵,陆续
泪如雨下,泪流满面
六趣轮回,六道轮回
乐极悲生,乐极生悲
流言蜚语,流言风语
恋酒贪花,恋酒迷花
廉正宽厚,廉而不刿
领悟,领路
流畅,流通
理会,领悟
冷嘲热讽,冷言冷语
恋恋不舍,留连忘返
卤莽,鲁莽
料到,料想
浪费,滥用
连更彻夜,连更星夜
遴拔,遴选
两虎相争,两虎相斗
临川羡鱼,临河羡鱼
龙盘凤逸,龙蟠凤逸
裂石流云,裂石穿云
龙肝凤脑,龙肝凤髓
龙腾虎跃,龙跳虎卧
励精图治,励精求治
卤莽灭裂,鲁莽灭裂
流散,流浪
流芳百世,留芳百世
趔趔趄趄,踉踉跄跄
绿油油,绿莹莹
连枝分叶,连枝同气
理会,领会
料事如神,料敌如神
连绵不断,连绵不绝
理会,理睬
浪迹浮踪,浪迹萍踪
龙跳虎伏,龙跳虎卧
庐山真面,庐山面目
量入为出,量入制出
露纂雪钞,露纂雪钞
老成炼达,老成练达
撩蜂剔蝎,撩蜂拨刺
两次三番,屡次三番
林下风气,林下风致
聊复尔尔,聊复尔耳
连结,连续
兰艾俱焚,兰艾同焚
了局,了结
履霜坚冰,履霜知冰
历历可数,历历在目
乐滋滋,乐陶陶
老熊当道,老罴当道
冷淡,冷莫
理解,领路
敛声屏气,敛色屏气
临军对垒,临军对阵
连三并四,连二并三
乐园,乐土
绿林好汉,绿林豪客
冷淡,冷酷
灵柩,灵榇
老奸巨猾,老谋深算
遴拣,遴选
灵便,灵敏
鲁鱼亥豕,鲁鱼帝虎
鲁人回日,鲁阳挥戈
流离失所,流落天涯
理科,立即
流言飞文,流言飞语
龙战玄黄,龙血玄黄
流亡,流离
驴鸣犬吠,驴鸣狗吠
沦亡,沦陷
率领,领导
沦浃肌髓,沦肌浃髓
绿林大盗,绿林强盗
理会,理解
量力而行,量才录用
了如指掌,了若指掌
临阵磨刀,临阵磨枪
沥胆堕肝,沥胆濯肝
怜悯,怜惜
流散,流落
沥胆披肝,沥胆抽肠
令人切齿,令人发指
冷峭,冷酷
笼中之鸟,笼鸟槛猿
流亡,流浪
量力而行,量才而为
联结,连合
灵敏,灵活
两泪汪汪,泪如泉涌
灵巧,灵活
连城之珍,连城之璧
老小,老少
力争,力图
理解,领悟
滥调,谰言
老拙,老朽
流连忘反,留恋不舍
驴唇不对马口,驴头不对马嘴
理会,理财
寥若星辰,寥若晨星
凌乱,零乱
流落他乡,流落天涯
令行禁止,雷厉风行
流离失所,流离转徙
鹿死谁手,龙争虎斗
狼狈不堪,落荒而逃
罗列,胪列
老实,老诚
了解,理解
理之当然,理所当然
冷眼旁观,冷若冰霜
伶俐,灵活
冷若冰霜,凛若冰霜
累块积苏,累苏积块
礼仪,礼节
冷丝丝,凉飕飕
狼餐虎咽,狼餐虎噬
来历,来源
立刻,立即
力不胜任,力难胜任
联结,连结
流芳千古,流芳后世
流连忘返,留连忘返
伶牙俐齿,灵牙利齿
连帙累牍,连篇累册
连篇累册,连篇累牍
旅费,路费
漏洞,裂缝
老有所养,老有所终
励兵秣马,砺兵秣马
寥寥可数,寥若晨星
量入为出,量才录用
力所能及,力挽狂澜
临别赠言,临别赠语
聊以自娱,聊以自慰
龙蟠虎伏,龙骧虎跱
屡战屡败,屡败屡战
老大,老迈
磊瑰不羁,磊落不羁
略知皮毛,略识之无
零星,零碎
励兵秣马,砺戈秣马
立马盖桥,立马造桥
掠夺,掳掠
揽辔澄清,揽辔登车
泪如雨下,篮篦满面
乐融融,乐陶陶
脸庞,脸蛋
量体裁衣,量才录用
滥吏赃官,滥官污吏
类别,类型
龙争虎斗,龙斗虎争
伶牙俐齿,利喙赡辞
劳燕分飞,鸾凤分飞
量入为出,量力而行
聊以慰藉,聊以自慰
流芳千古,流芳百世
狼突鸱张,狼顾鸱张
冷若冰霜,冷酷无情
遴择,遴选
冷清,冷静
流利,流畅
鸾鹄停峙,鸾鹄在庭
里应外合,里通外国
立即,立时
邻人,邻居
麟角凤毛,麟角凤觜
陵园,陵寝
潦倒,落魄
狼子野心,狼心狗肺
狼籍,缭乱
龙心凤肝,龙肝凤髓
老到,老成
轮换,轮流
连镳并轸,连镳并驾
临深履冰,临深履薄
率尔成章,率尔操觚
励兵秣马,厉兵粟马
利害,利害
攞袖揎拳,裸袖揎拳
连哄带骗,连蒙带骗
拉三扯四,拉拉扯扯
龙荒朔漠,龙荒蛮甸
零散,零星
戮力一心,戮力同心
冷僻,冷落
屡教不改,累教不改
老太婆,老妇人
流弊,流毒
连接,连绵
伶牙俐齿,利齿能牙
廉正,廉洁
恋恋不舍,流连忘反
冷气,凉气
劳作,劳顿
兰桂腾芳,兰桂齐芳
理应,理当
庐山真面,庐山真面目
领悟,领略
冷淡,冷血
了然,了解
六街三市,六街三陌
良莠不分,良莠不齐
落榜,落第
流散,流离
良时吉日,良辰吉日
良师益友,良师诤友
乐不可支,乐而忘返
联合,联络
论说,论述
旅途,路径
力争上流,力争上游
利齿伶牙,灵牙利齿
泪如泉涌,篮篦满面
轮替,轮流
练就,练成
理科,立地
辽东白豕,辽东豕
励精图治,厉精为治
理科,立时
联接,连结
