疑惑,疑虑
疑神疑鬼,疑邻盗斧
以汤止沸,以汤沃沸
一目了然,一览了然
鱼烂土崩,鱼烂瓦解
云英之身,云英未嫁
轶事,逸事
言近意远,言近指远
有层有次,有条有理
颜精柳骨,颜骨柳筋
原本,原来
殒身碎首,陨身糜骨
隐匿,隐藏
羽毛丰满,羽翼已成
悠久,悠远
湮没,隐藏
英姿勃勃,英姿勃发
以毒攻毒,以眼还眼
延误,贻误
义不容辞,义无反顾
游移不定,犹豫不决
郁郁苍苍,郁郁葱葱
以冰致蝇,缘木求鱼
一心一意,一心一意
云行雨施,云行雨洽
厌倦,厌烦
一牛吼地,一牛鸣地
遗孽余烈,遗孽馀烈
移天徙日,移天易日
衣锦荣归,衣锦还乡
屹立,岳立
沂水春风,沂水舞雩
鸦雀无声,鸦鹊无声
因循守旧,因循沿袭
以理服人,言之有理
言行不一,言行相反
一饭之恩,一饭千金
义不容辞,谊不容辞
一往直前,勇往直前
牙签犀轴,牙签锦轴
以汤止沸,扬汤止沸
一意孤行,以意为之
遗臭万代,遗臭千年
有机可乘,有隙可乘
野心,阴谋
一言一动,一言一行
一笔勾消,一笔勾销
严厉,严酷
游移,犹豫
言不虚发,言必有中
药到回春,药到病除
一成不变,依然如故
遗簪坠舄,遗簪弃舄
运智铺谋,运计铺谋
雍容华贵,雍容尔雅
偃武兴文,偃武行文
一溜,一转
源源而来,源远流长
言之谆谆，听之藐藐,言者谆谆，听者藐藐
应天从人,应天从物
一事无成,一窍不通
异乡,异域
音尘,音问
言论,言谈
衣服,衣物
悠悠自得,悠闲自在
言之凿凿,言辞凿凿
一蹴即至,一蹴而就
又作别论,又当别论
一得之愚,一隅之见
油漆,越发
一无所得,一无所成
一帆顺风,一往无前
言行不一,言行相诡
渊涓蠖濩,渊蜎蠖伏
扬长而去,远走高飞
杨花心性,杨花水性
优良,优越
一家之说,一家之辞
引领,引颈
摇晃,摇荡
原故,源由
意在言外,意在言表
一针见血,要言不烦
缘故,缘由
有条不,有条有理
友好,友谊
遗臭万代,遗臭无穷
岳峙渊渟,岳镇渊渟
意想,预想
衣服,衣裳
掩盖,隐瞒
仪态万千,仪态万方
逸事,遗闻
压倒,压服
衣衫蓝缕,衣衫褴褛
意在言外,言外之意
抑塞,郁闷
倚门倚闾,倚闾而望
言行相反,言行相诡
纡佩金紫,纡金曳紫
荫蔽,隐敝
怡然自乐,怡然自得
源源不断,源源不绝
一本正经,油嘴滑舌
意想,意象
一如既往,依然故我
一以当十,一以当百
抑制,抑遏
业业兢兢,业业矜矜
一文如命,一钱如命
一唱三叹,余音绕梁
引水入墙,引狼入室
一反其道,一反既往
仰制,抑止
养育,孕育
郢人斤斧,郢匠挥斤
摇动,摇摆
一反常态,一改故辙
以攻为守,以退为进
源源不断,源远流长
医治,医疗
英姿焕发,英姿飒爽
优孟衣冠,衣冠优孟
悠然自在,悠闲自在
一片散沙,一盘散沙
一路福星,一路顺风
引用,援用
忧伤,忧愁
以暴易乱,以暴易暴
雍容典雅,雍容文雅
语妙天下,语妙绝伦
遗簪坠屦,遗簪弊屦
英雄辈出,逸辈殊伦
遇害,遇难
一心一意,一心一计
欲取故予,欲擒故纵
于是,以是
忧伤,忧虑
渔阳鞞鼓,渔阳鼙鼓
意前笔后,意在笔前
雍容大雅,雍容闲雅
燕巢幕上,燕巢飞幕
压抑,压迫
养精蓄锐,用逸待劳
友好,有爱
一柱承天,一柱擎天
严俊,严刻
一定不易,一成不变
一帆顺风,一路顺风
一帆风顺,一路顺风
一无所成,一无所能
隐敝,隐瞒
用场,用处
言从计纳,言听计从
一气呵成,一气浑成
悒悒不乐,郁郁寡欢
以卵击石,以卵敌石
依从,允从
一口同声,异口同声
言从计听,言从计行
一望无际,一马平川
遗臭万年,遗臭万载
一名不文,一贫如洗
衣绣夜行,衣锦夜行
鱼游沸鼎,鱼游釜底
原原本本,有头有尾
一表人才,一表非凡
一无所有,一贫如洗
幽灵,阴魂
应允,应承
以卵投石,以卵敌石
偃旗卧鼓,偃旗息鼓
疑心,疑惑
一日之雅,一面之交
隐约其词,隐约其辞
一团漆黑,一无可取
一向,一直
预约,预订
眼光,眼力
意料,预想
余恨,遗恨
鸦雀无声,鸦雀无闻
异卉奇花,异草奇花
夷由,游移
严厉,严穆
有眼不识泰山,有眼无瞳
掩目捕雀,掩耳盗铃
一成不变,原封不动
意义深长,语重心长
沿用,沿袭
优厚,优越
一索得男,一索成男
韫椟而藏,韫椟藏珠
湮灭,隐匿
言简意该,言简意赅
有头无尾,有始无终
游蜂戏蝶,游蜂浪蝶
运乖时蹇,运拙时乖
原由,因由
一日千里,雨后春笋
应召修文,玉楼赴召
鱼生空釜,鱼釜尘甑
忧心如捣,忧心如焚
一无所能,一无所长
以来,依靠
沿路,沿途
一切,一起
依样画葫芦,依模画样
一献三售,一献三酬
摇动,摇荡
以刑去刑,以刑止刑
一声不响,鸦雀无声
忧愁,忧郁
约会,约聚
原意,应允
原因,原故
因利乘便,因势利导
隐伏,隐藏
一起,一路
怡然,悠闲
音书,音问
怨声载道,怨气冲天
有观看,阅览
言简意少,言简意赅
优伤,忧闷
与世推移,与时偕行
殒命,陨命
一长二短,一长半短
预料,预期
以后,以来
一语破的,一语说破
越过,逾越
隐匿,隐没
一字不易,一字不爽
掩盖,隐藏
掩恶扬善,掩恶扬美
一面之款,一面之雅
牙签犀轴,牙签玉轴
渔人,渔夫
言行一致,言行相符
要挟,要旨
一反既往,一改故辙
营私作弊,营私舞弊
一夫之用,以一当十
因地制宜,因时制宜
一倡百和,一呼百应
严刻,严酷
以火救火,以煎止燔
拥戴,拥护
月俸,月给
因袭,沿用
以汤沃沸,以火止沸
友谊,有爱
忧虑,忧闷
引咎自杀,引咎自责
以管窥天,以锥刺地
摇摇摆摆,摇摇晃晃
一笑千金,艳色绝世
摇晃,摇曳
杳无信息,杳无消息
一会儿,一刹
一孔之见,以蠡测海
一板一眼,有板有眼
荫藏,隐藏
一些,一般
以小人之心，度君子之腹,以己度人
应天从物,应天顺民
一同,一块
研精殚力,研精毕智
一块,一齐
偃旗息鼓,摇旗呐喊
以耳为目,以耳代目
异口同声,有口皆碑
一路,一齐
一念之差,阴差阳错
一目了然,有目共睹
严阵以待,诱敌深入
有天无日,有天没日
友情,友爱
阴暗,阴霾
一旦,一朝
雨后初霁,雨过天晴
饔飧不给,饔飧不继
衣衫不整,衣衫褴褛
薏苡之谤,薏苡明珠
怏怏不乐,怏怏不悦
疑三惑四,疑神疑鬼
永不磨灭,永垂不朽
一日千里,与日俱增
一无可取,一无所能
样本,样板
一蹶而就,迎刃而解
严格,严肃
以防万一,有备无患
越发,越来
议论纷纭,议论纷错
以毒攻毒,以牙还牙
一石二鸟,一箭双雕
一见倾心,一见如故
永别,永诀
睚眦之忿,睚眦之恨
一见如故,一面如旧
云涌风飞,云涌飙发
一之为甚,一之已甚
一定不易,一定不移
颖异,颖悟
一声不响,一言半语
忧患,忧虑
一时半刻,一时半晌
以身作则,言传身教
一目了然,一览无余
有计划,预备
隐瞒,隐讳
运筹决策,运筹画策
遇难呈祥,遇难成祥
言不达意,言不逮意
严实,严密
以戈舂黍,以指测河
悠然,悠闲
一伙,疑虑
厌恶,厌烦
预料,预见
意气扬扬,洋洋得意
一熏一莸,一薰一莸
余音绕梁,言犹在耳
偃武修文,偃武崇文
一无所成,一无所有
扬威耀武,扬武耀威
一针见血,言必有中
一鳞半甲,一鳞片甲
一无所知,一窍不通
言不由中,阳奉阴违
鹰睃狼顾,鹰视狼顾
月尾,月终
延颈举踵,延颈企踵
一无所得,一无所获
雍容尔雅,雍容闲雅
运斤成风,运用自如
一册,一本
一蹴而就,欲速不达
以德报怨,以直抱怨
一客不烦两家,一客不烦二主
义无返顾,勇往直前
意愿,愿望
语重心长,语重情深
依本画葫芦,依样葫芦
一张一弛,以逸待劳
遗志,遗愿
一曝十寒,有始无终
于是,因此
意气风发,英姿飒爽
允诺,应允
遗址,遗迹
以理服人,言之成理
意气相倾,意气相投
依依惜别,依依难舍
言而有信,言行一致
杳如黄鹤,杳无消息
遗簪坠履,遗簪堕履
一无所知,一问三不知
一暴十寒,有始无终
怨天尤人,怨天忧人
阎君,阎罗
嚚猾,阴险
愚昧,愚蠢
因敌为资,因敌取资
言近意远,言近旨远
夭桃秾李,夭桃襛李
演员,艺人
颐性养寿,颐神养寿
一网尽扫,一网打尽
薏苡之谗,薏苡之谤
以屈求伸,以攻为守
鸦雀无声,鸦默雀静
永世,永久
一下子,一会儿
掩蔽,掩藏
仰仗,依靠
遗愿,遗言
以戈舂黍,以锥餐壶
掩护,掩饰
一清二楚,一目了然
掩人耳目,欲盖弥彰
一针见血,有的放矢
忧伤,忧郁
一文不名,一穷二白
莺吟燕舞,莺歌燕舞
野无遗才,野无遗贤
一叶障目，不见森林,一叶障目，不见泰山
一通百通,迎刃而解
一败涂地,一蹶不振
有言在先,有言在前
郢人斤斫,郢人运斧
养痈成患,养痈遗患
意意似似,意意思思
义正词严,言之成理
一举两得,一石二鸟
以邻为壑,引咎自责
鱼死网破,鹬蚌相争
一呼百应,应者云集
言而无信,言行不一
移天换日,移花接木
偃武修文,偃武行文
依旧,依然
优患,忧虑
运筹决策,运筹演谋
押解,押送
摇头摆脑,摇头晃脑
远离,远隔
舆情,议论
云屯雨集,云屯雾集
优伶,演员
寓目,阅览
业峻绩鸿,业峻鸿绩
优伶,艺人
遗簪坠珥,遗簪堕珥
一起,一道
原因,原由
依赖,依附
倚官仗势,倚官挟势
以战去战,以杀去杀
遗簪弊履,遗簪弊屦
依然如故,原封不动
一目十行,一目数行
抑郁,郁闷
一劳久逸,一劳永逸
印油,印泥
依然,已经
燕舞莺歌,莺歌燕舞
一孔之见,一得之见
意图,意愿
与民同乐,与民更始
严峻,严酷
原意,应许
一孔之见,一知半解
越俎代庖,越职代理
一目了然,一览无遗
言不由衷,言行不一
远涉重洋,远走高飞
鱼龙曼羡,鱼龙曼衍
一丝不苟,一板一眼
忧心如焚,郁郁寡欢
一狐之掖,一狐之掖
淫亵,淫媟
以莛扣钟,以莛撞钟
一语破的,一针见血
逸闻琐事,逸闻轶事
勇敢,英勇
遥呼相应,遥相呼应
一星半点,一点半点
忧郁,忧闷
一败如水,一蹶不振
一手包办,一手遮天
一五一十,一清二楚
杳无音信,音信杳无
运行,运转
余暇,悠闲
哑子做梦,哑子寻梦
以退为进,掩人耳目
英姿勃勃,英姿飒爽
友情,友谊
一举万里,一举千里
以夷制夷,以夷治夷
运拙时乖,运拙时乖
严俊,严格
原因,缘由
义兵,义师
贻害无穷,遗祸无穷
禺谷,隅谷
遗闻逸事,遗闻逸事
忧愁,忧虑
盈余,赢余
淫词亵语,淫词秽语
颐养精神,颐神养性
言出必行,言而有信
运筹决策,运筹帷幄
一丝一毫,一点一滴
云迷雾罩,云迷雾锁
隐秘,隐藏
雅会,雅集
一望无垠,一览无余
一夜夫妻百夜恩,一日夫妻百日恩
一沐三捉发,一沐三渥发
一文不名,一贫如洗
易于反手,易如翻掌
意向,愿望
一表人才,仪表堂堂
腌臜泼才,腌臜混沌
一拍即合,遥相呼应
莺歌燕舞,莺歌蝶舞
英姿勃发,英姿飒爽
宴会,饮宴
一笔抹杀,一笔抹煞
沂水弦歌,沂水舞雩
摇动,犹疑
遗簪堕屦,遗簪弊屦
语无伦次,语言无味
鸭步鹅行,鸭行鹅步
一语中的,一语破的
挹彼注兹,挹彼注此
以人为鉴,以人为镜
有心,用意
养威蓄锐,养锐蓄威
阴司,阴间
云开见日,雨过天青
一事无成,一无所成
愚笨,愚蠢
谣喙,谣言
一回,一趟
云消雾散,雨过天晴
瑜不掩瑕,瑜不揜瑕
仰制,压迫
以党举官,以慎为键
寅吃卯粮,寅支卯粮
哑子做梦,哑子托梦
易口以食,易子而食
夭亡,夭折
依然如故,依然如旧
以词害义,以辞害意
易如反掌,迎刃而解
荫蔽,隐秘
严格,严苛
逸态横生,逸趣横生
一步登天,一蹴而就
欲擒故纵,诱敌深入
运脚,运费
一长两短,一长二短
鱼书雁信,鱼书雁帛
饮冰茹檗,饮冰食檗
一语说破,言必有中
余地,余步
一之已甚,一之谓甚
一同,一路
以古喻今,以古非今
研商,研究
友善,有爱
沂水弦歌,沂水春风
意义,意旨
一差二错,一差半错
鱼游沸釜,鱼游釜中
一线希望,一线生机
鱼尾雁行,鱼贯而入
要地,要塞
一差二错,一念之差
要功,邀功
一视同仁,因人而异
允诺,愿意
云合雾集,云合雾集
燕颔儒生,燕颔虎须
原意,愉快
远眺,遥望
轶事,遗闻
一水之隔,一衣带水
疑义,疑问
一差两讹,一差二错
有目共睹,有目共见
一息尚存,奄奄一息
腰围,腰身
一文不名,一无所有
摇尾乞怜,摇尾乞食
运乖时蹇,运蹇时乖
纡朱拖紫,纡青拖禁
宜室宜家,宜家宜室
游乐,游玩
月俸,月薪
有口皆碑,雅俗共赏
养痈贻患,养虎遗患
延颈企踵,延颈跂踵
轶闻趣事,逸闻趣事
一噎止餐,因噎废食
言之不详,语焉不详
余味无穷,意犹未尽
音信,音讯
一言为定,一诺千金
样子,样式
依附,依靠
阴曹,阴间
仰制,压制
用膳,用饭
引咎自杀,引咎责躬
依附,倚赖
运筹决算,运筹演谋
一帆风顺,一往直前
阴暗,阴郁
仰制,约束
原宥,原谅
原野,野外
意气轩昂,意气飞扬
一双,一对
颜筋柳骨,颜骨柳筋
荫翳,阴翳
仰仗,衣服
遗凮,遗风
用智铺谋,用计铺谋
以身殉职,以身许国
鳏寡孤茕,鳏寡茕独
一差二错,阴差阳错
郁郁芊芊,郁郁苍苍
一概而论,一笔抹煞
盈利,赢利
一步登天,一鸣惊人
延迟,延长
言行一致,言行不贰
一举一动,一言一动
言多伤幸,言多伤行
以逸待劳,用逸待劳
言归于好,言归和好
月尾,月底
薏苡之谤,薏苡蒙谤
以牙还牙,以直报怨
遗哂大方,遗笑大方
饮水啜菽,饮水食菽
圆滑,圆通
一字千钧,一言九鼎
因为,由于
原因,缘故
阴晦,阴沉
元配,原配
倚玉偎香,倚翠偎红
引人注目,有目共睹
仰仗,依赖
原因,源由
以火止沸,以煎止燔
映射,映照
以卵击石,以肉喂虎
运拙时艰,运蹇时乖
有声有色,有板有眼
原原本本,源源本本
有声有色,有条有理
预告,预报
依稀,隐约
御林军,羽林军
抑塞,抑郁
鱼贯而入,鱼贯雁行
一往无前,勇往直前
一刹那,一瞬间
云兴霞蔚,云蔚霞起
予取予夺,予取予携
仰仗,仰赖
一面之识,一面之雅
意想,预料
有口难辩,有苦难言
燕雀处堂,燕雀处屋
雁素鱼笺,鴈素鱼笺
颖悟,颖慧
易于反掌,易如翻掌
以古为鉴,以古喻今
妖冶,妖娆
一穷二白,一贫如洗
眼急手快,眼疾手快
议论风发,议论风生
一时,有时
邑邑,郁郁
以言为讳,以言取人
倚门卖笑,倚门献笑
一诺千金,言必有据
倚庐之望,倚门倚闾
仰首伸眉,摇头摆尾
一名不文,一无所有
一家之言,一家之辞
意马心猿,犹豫不决
养痈成患,养虎遗患
鸦没鹊静,鸦默雀静
衣绣昼行,衣锦还乡
一叶障目,以偏概全
泱泱大国,泱泱大风
隐约,隐隐
一无所长,一无是处
因何,缘何
印象,影像
一气呵成,一鼓作气
意味深长,语重心长
一壁,一面
引以为戒,引以为鉴
仰制,压榨
研精殚力,研精殚思
哑忍,隐忍
怏怏不乐,郁郁寡欢
一无所好,一无所能
怨天尤人,怨天怨地
因公假私,因公行私
以古讽今,以古非今
以柔克刚,以柔制刚
与日俱增,有加无已
以一当十,以一顶百
迎日推策,迎日推筴
冤枉,原委
驿使梅花,驿路梅花
意料,预料
以德报怨,以直报怨
依据,依照
言浅意深,言近旨远
蝇头小利,蝇头微利
倚马七纸,倚马千言
余光,余晖
言之有物,言之有理
养生送死,养老送终
应考,应试
援助,援手
远水不救近火,远水不解近渴
有勇无谋,有勇有谋
要言不烦,言简意赅
一呼百应,遥相呼应
衣不蔽体,衣衫褴褛
严格,严谨
友好,友爱
倚仗,倚恃
养痈贻患,养虎自齧
仪表,样貌
一言为定,言而有信
因循,沿袭
以死相拼,鱼死网破
一览无遗,一览而尽
仪容,仪表
圆滑,油滑
予人口实,贻人口实
炎暑,炎热
衣绣夜游,衣锦夜游
忧愁,忧闷
仰取俯拾,仰拾俯取
以此类推,依此类推
忧心忡忡,郁郁寡欢
一举一动,一言一行
应用,运用
疑问,疑难
厌倦,厌弃
用逸待劳,用逸待劳
艺坛,艺苑
哑子寻梦,哑子托梦
严苛,严酷
应对如流,应答如流
运气,运道
奄奄一息,摇摇欲堕
允许,原意
一箭上垛,一箭中的
友善,友好
也是,亦然
遗簪坠屦,遗簪弊履
言论,议论
夭折,夭殇
夜以继日,夜以继昼
预料,预计
药剂,药方
严穆,严肃
丫头,丫环
月信,月经
以前,已往
郢人斤斧,郢人斤斫
一狐之掖,一狐之腋
一应俱全,应有尽有
音尘,音讯
奄奄一息,奄奄垂绝
严刻,严格
有气无力,有气没力
一团漆黑,一无是处
宴安鸩毒,晏安鸩毒
严刻,严峻
以一儆百,以一警百
印章,印记
以至,以致
烟波浩渺,烟雾弥漫
眼明手快,眼疾手快
一切,一概
因噎废食,因小失大
油头滑脸,油头滑面
咬定牙根,咬紧牙关
蚁拥蜂攒,蚁萃螽集
衣冠土枭,衣冠禽兽
一鳞片爪,一鳞片甲
源由,由来
瑶林玉树,瑶林琼树
摇动,摇曳
以身殉国,以身许国
饮冰吞檗,饮冰茹蘖
妍丽,艳丽
悠久,永远
鱼溃鸟散,鱼溃鸟离
依人而立,因人成事
永垂不朽,遗臭万年
阴暗,阴沉
抑制,抑止
与时偕行,与时相偶
一扫而光,一网打尽
悠久,悠长
牙床,牙根
月底,月终
一孔之见,一得之愚
一仍目贯,依然如故
一概,一致
阴恶,阴毒
以来,仰赖
一帆风顺,一路平安
源清流洁,源清流清
一席之地,一隅之地
湮没,隐敝
一己之见,一相情愿
游历,游履
宴安鸩毒,燕安鸩毒
印象,影象
仰赖,依靠
院子,院落
以暴易暴,以眼还眼
燕颔虎须,燕颔虬须
仰仗,依附
也好,也罢
一见倾心,一见钟情
怨天尤人,怨天恨地
一唱一和,亦步亦趋
一矢双穿,一箭双雕
舆论,言谈
养病,养痾
燕昭好马,燕昭市骏
遗书,遗言
遗臭万年,遗臭千年
有备无患,有恃无恐
一鳞半甲,一鳞片爪
言听事行,言听计从
意前笔后,意在笔先
原故,由来
叶落归根,饮水思源
忧愁,郁闷
游水,游泳
言类悬河,言若悬河
严俊,严苛
意在笔先,意在笔前
一言为重,一言千金
愚蠢,迂曲
云开雾散,云消雾散
以防不测,有备无患
义形于色,义愤填膺
意望,愿望
仰求,央求
扬汤止沸,饮鸩止渴
因人而异,因地制宜
玉石俱摧,玉石皆碎
冤屈,冤枉
炎夏,炎热
摇羽毛扇,摇鹅毛扇
阴晦,阴雨
一脉相传,一脉相承
佣金,佣钱
一无所知,一物不知
养儿防老,有备无患
压抑,抑低
一差二讹,一差二误
衣香髻影,衣香鬓影
有财有势,有钱有势
允诺,应承
阴沉,阴霾
有意,用意
预感,预见
音韵,韵律
元元本本,原原本本
月给,月薪
应付自如,应付裕如
溢美之言,言过其实
友好,友情
一级,优等
扬扬得意,洋洋得意
亚肩叠背,压肩叠背
一丝一毫,一分一毫
运开时泰,运旺时盛
意思意思,有趣
一时半刻,一朝一夕
演化,演变
一本万利,渔人之利
遗臭万载,遗臭无穷
言听计用,言听计行
驿寄梅花,驿路梅花
养痈成患,养痈成患
丫头,丫鬟
一面之款,一面之识
应允,愿意
一马当先,遥遥领先
养痈遗患,养虎伤身
一石两鸟,一箭双雕
一手一脚,一手一足
颐养精神,颐精养神
依翠偎红,倚翠偎红
养家活口,养家糊口
一声不吭,一言不发
用场,用途
严冬,严寒
纡朱拖紫,腰金拖紫
一语说破,一针见血
言不由中,言不由衷
一唱一和,遥相呼应
有层有次,有条不紊
一口道破,一语道破
遗簪堕履,遗簪堕屦
一起,沿路
燕舞莺啼,莺歌燕舞
一团漆黑,一塌糊涂
银样蜡枪头,银样镴枪头
圆通,油滑
掩护,掩盖
元帅,元戎
应允,应许
阴灵,阴魂
优异,优秀
刖趾适屦,因噎废食
意义,意思
杳无信息,杳无音讯
言听计从,言听计用
愿望,欲望
一同,一起
易如反掌,易如拾芥
永世,永恒
一斑半点,一班半点
怨声载道,怨天忧人
用舍行藏,用行舍藏
油头滑脑,油腔滑调
异地,异域
一字一句,一字一板
依依不舍,依依难舍
一决雌雄,一较高下
言之无信,言而无信
贻笑大方,遗笑大方
一唱一和,一拍即合
纡青拖紫,腰金拖紫
一哄而散,一哄而起
悒悒不乐,悒悒不欢
宴安鸠毒,燕安鸩毒
一言九鼎,一诺千金
严厉,严格
一旦一夕,一朝一夕
一岁再赦,一岁载赦
陨泣,饮泣
咬定牙关,咬紧牙关
一面之词,一面之说
慵倦,慵困
一言九鼎,言出如山
允许,应许
因由,源由
压制,抑制
因缘,缘分
一世,一生
衣冠优孟,鹦鹉学舌
云窗雾槛,云窗雾阁
一律,一概
一窝蜂,一窝风
一丝不苟,一毫不苟
严重,要紧
有目无睹,有眼无瞳
一面之交,一面之款
遗簪堕履,遗簪弊屦
以屈求伸,以退为进
摇头摆尾,摇头晃脑
奄奄一息,淹淹一息
依样画葫芦,依葫芦画瓢
饔飧不给,饔飧不饱
依赖,依靠
一哄而散,源源而来
一成不变,沿袭旧规
一了百了,一了百当
压制,压迫
一扫而空,一网打尽
夜以接日,夜以继昼
言外之意,音在弦外
燕颔虎头,燕颔虎颈
沿流溯源,沿流讨源
一举一动,一坐一起
言行不符,言行相诡
硬汉,英雄
阴暗,阴森
预定,预订
应对,应答
燕颔虎头,燕颔虎头
一唱一和,一搭一档
原由,由来
依样葫芦,原封不动
一箭双雕,一语双关
严俊,严厉
严峻,严格
倚仗他人,因人成事
一差二误,一差半错
偃武崇文,偃革尚文
以强凌弱,倚强凌弱
睚眦之忿,睚眦之怨
一孔之见,一得之功
以身报国,以身许国
一双两好,一床两好
迎风招展,迎风飘扬
一呜惊人,一步登天
一模一样,一模二样
与世长辞,玉陨香消
一起,沿途
言听计从,言听计行
一呵而就,一气呵成
一成不变,一模一样
鳏寡孤独,鳏寡孤茕
云和响应,云集响应
臆度,臆测
一技之长,一艺之长
一丝不紊,有条不紊
因事为制,因时制宜
研究,研讨
