屏声敛息,屏气敛息
哈哈大笑,捧腹大笑
黄耳传书,黄耳寄书
稳操左券,稳操胜算
裒多增寡,裒多益寡
委任,委用
文华,文采
歪曲,误解
哇噻,哇塞
徘徊不定,徘徊歧路
鹗荐,鹗表
喝倒彩,喝倒采
黄雀伺蝉,黄雀在后
望风瓦解,望风而溃
无微不至,无所不至
披发左衽,披发文身
婉言,讳言
豪恣,荒诞
危机,迫切
为德不卒,虎头蛇尾
妄言,妄语
觳觫,寒战
昏庸,昏聩
平素,平昔
评隲,评骘
无庸置疑,毋庸置疑
披红戴花,披红挂彩
火树琪花,火烛银花
后嗣,后裔
误差,偏差
偏偏,偏巧
牝牡骊黄,黑白不分
回嘴,批驳
普度众生,普度群生
祸害,患难
混为一谈,混作一谈
河流,河道
巫山云雨,巫山云雨
后代,儿女
恶毒,狠毒
合零为整,化零为整
浑身,混身
漂浮,漂流
劈头盖脸,铺天盖地
披沙沥金,披沙拣金
瓮牖绳枢,瓮牖桑枢
误会,误解
浩饮,酣饮
仆人,仆役
外地,外埠
亡魂丧魄,亡魂失魄
品头评足,评头品足
淮南鸡犬,淮王鸡狗
胡扯,胡说
平头百姓,平民百姓
恶衣恶食,恶衣粝食
鸿章钜字,鸿篇巨制
化为乌有,化为泡影
呼卢喝雉,呼幺喝六
耳环,耳饰
厚颜无耻,无耻之尤
号哭,号泣
户枢不朽,户枢不蠹
噗咚,噗哧
闻一知二,闻一知十
劈波斩浪,披荆斩棘
忘我,无私
片口张舌,骗口张舌
排山倒海,排山压卵
霹雷,霹雳
污染,浑浊
伪造,诬捏
娓娓不倦,娓娓不怠
忘年之交,忘年之契
偏听偏信,偏听则暗
五短三粗,五短身材
好歹,好赖
平地一声雷,平地风雷
枉费心机,挖空心思
怕三怕四,怕痛怕痒
闳言崇议,闳言高论
酣歌恒舞,酣歌醉舞
噩耗,恶耗
晚上,晚间
无所不包,无所不有
帷灯匣剑,帷灯箧剑
攀车卧辙,攀辕卧辙
围詹救科,围魏救赵
浑然天成,浑然自成
会剿,围剿
文韬武略,文武双全
尔虞我诈,尔诈我虞
望梅止渴,画饼充饥
吼怒,咆哮
屙金尿银,屙金溺银
酣然入梦,酣然入睡
挥戈退日,挥戈回日
货币,货泉
为丛驱雀,为渊驱鱼
恶名,污名
混淆,混合
后来居上,后发先至
握椠怀铅,握铅抱椠
完工,完成
偏听偏信,偏信则暗
含英咀华,含菁咀华
黑心,恶意
胡说乱道,胡说白道
好久,很久
匍匐,蒲伏
嵬目鸿耳,嵬眼澒耳
皇亲国戚,王孙贵戚
梧鼠之技,梧鼠五技
寒不择衣,慌不择路
无地自容,汗颜无地
胼手胝足,胼胝手足
攀今吊古,攀今掉古
万不得已,迫不得已
五脏六腑,五藏六府
顽皮赖肉,顽皮赖骨
合而为一,合二为一
舞文弄墨,舞词弄札
五行俱下,五行并下
号令,号召
二缶钟惑,二缶锺惑
伪币,伪钞
汗牛充栋,浩如烟海
拍马屁,捧臭脚
鹏程万里,鹏霄万里
乌七八糟,污七八糟
花里胡哨,花里胡梢
文韬武略,文韬武韬
贫病交攻,贫病交迫
唯我独尊,唯吾独尊
和蔼可亲,和蔼可掬
后悔莫及,悔恨莫及
无往不利,无往不胜
号啕,号咷
陪伴,陪同
寒冷,寒凉
鹤寿,鹤龄
凭仗,凭借
望风希指,望风希旨
黑乎乎,黑乌乌
瓦解冰泮,瓦解冰消
黄粱一梦,黄粱美梦
绘制,绘图
回答,回覆
喝彩,喝采
火树琪花,火树银花
无可置喙,无庸置言
还朴反古,还淳反古
恢宏大度,豁达大度
横生枝节,好事多磨
飘飖,飘摇
寒舍,蓬门
红紫乱朱,红紫夺朱
恩威并着,恩威并行
问安视膳,问寝视膳
无理,荒谬
砰然,轰然
恶毒,恶劣
函件,翰札
无耻之徒,无耻之尤
劈叉,劈腿
无与比伦,无可比拟
呼天唤地,呼天号地
平平泛泛,平平常常
胡涂,昏瞶
无本之木,无米之炊
片断,片段
温香艳玉,温香软玉
危殆,危险
毫不顾忌,毫无顾忌
悔之晚矣,悔恨交加
欢悦,欢喜
恨之入骨,恨入骨髓
后头,后面
耳染目濡,耳濡目击
万变不离其宗,换汤不换药
叵奈,叵耐
画虎刻鹄,画龙刻鹄
完了,完结
无所作为,无所事事
破矩为圆,破觚为圜
狐朋狗友,狐群狗党
侯门似海,侯门如海
拍手称快,拍手叫好
好想,彷佛
幻想,胡想
无稽之谈,耳食之谈
未足轻重,无足轻重
文人墨客,文人墨士
幻灭,破灭
魂不守舍,魂不守宅
何足挂齿,何足道哉
晦暗,昏花
皮里春秋,皮里阳秋
还原,恢复
污水,浑水
洪量,豪爽
完全,万万
厄运,横祸
琵琶别弄,琵琶别抱
蓬户桑枢,蓬户瓮牖
维护,维持
忘寝废食,忘餐废寝
浑身,浑身
火化,火葬
怀觚提椠,怀铅提椠
剽悍,慓悍
无风不起浪,无缘无故
呼唤,呼叫
忘乎所以,忘乎其形
委婉,婉转
文官,文臣
望见,瞥见
厚待,厚遇
黑压压,黑忽忽
无名小卒,无名鼠辈
五劳七伤,五痨七伤
破涕为笑,破颜一笑
会通,和会
好吃懒做,好逸恶劳
韩卢逐逡,韩卢逐鵕
扑打,扑挞
画虎不成反类狗,画虎不成反类犬
鹄峙鸾停,鹄峙鸾停
后援,后盾
欢叫,欢呼
浑水摸鱼,混水摸鱼
委婉,婉约
五零二落,五零四散
破釜沉舟,破釜焚舟
恢宏大度,恢廓大度
无思无虑,无虑无思
悔过,悔悟
牌坊,牌楼
涣发大号,涣汗大号
破涕为笑,破愁为笑
望尘拜伏,望尘而拜
后世,儿女
胡思乱想,胡思乱量
忘年交,忘年之契
为非作歹,为非作恶
狐埋狐扬,狐埋狐搰
威迫利诱,威逼利诱
品评,批评
文官,文吏
寒微,微贱
虎口余生,虎口逃生
韩寿偷香,韩寿分香
玩具,玩物
平缓,缓慢
旁推侧引,旁指曲谕
微小,微细
拼命,拚命
喝斥,呵责
贫嘴恶舌,贫嘴饿舌
黄口孺子,黄口小儿
顽劣,顽皮
画图,绘图
画龙点睛,破壁飞去
佩带,佩戴
毫厘不爽,毫发不爽
绘制,绘画
赫赫之名,赫赫有名
恶妻,泼妇
虎体元斑,虎体原斑
灰头土脸,灰头土面
无名小卒,无名英雄
惋惜,惘然
花枝招展,花团锦簇
