信口开喝,信口开河
反目成仇,反眼不识
床上叠床,床上施床
发布,宣布
才干,才能
心服口服,服服贴贴
才貌双全,才貌双绝
喟然太息,喟然长叹
贤才君子,贤良方正
犯法,犯罪
呈现,显现
从命,服从
粉妆玉琢,粉装玉琢
层出不穷,层见叠出
先下手为强,先发制人
削铁如泥,新发于硎
风环雨鬓,风鬟雨鬓
沉着痛快,沉著痛快
雪上加霜,乘人之危
寸草不留,消灭净尽
鲜嫩,鲜活
风雨如晦,风雨晦暝
出口伤人,出言不逊
闲扯,闲谈
乘风破浪,长风破浪
传杯换盏,传杯送盏
彻上彻下,彻里彻外
喜报,喜讯
喜气洋洋,笑逐颜开
串连,串通
采兰赠芍,采兰赠药
筹办,筹备
凯旅,凯旋
捆绑,系结
鲜艳,绚烂
享受,享福
凶暴,凶横
绸缪,缠绵
否决,抗议
像出生入死,粉身碎骨
才华,材干
显要,显达
扩大,扩充
愁闷,苦闷
旷日积晷,旷日经久
形容,形色
贤良,贤能
存心不良,心怀叵测
吹垢索瘢,吹毛求疵
飞舞,飞行
胸中丘壑,胸有丘壑
传布,宣扬
兴奋,兴隆
心乱如丝,心乱如麻
喜好,宠爱
充分,充实
选贤与能,选贤任能
覆巢倾卵,覆巢破卵
吹毛索瘢,吹毛求疵
口似悬河,口若悬河
学友,校友
苌弘化碧,苌弘碧血
开疆拓土,开疆辟土
怫郁,愤懑
反宾为主,喧宾夺主
存身,藏身
成千累万,成千论万
楚楚可怜,楚楚可爱
宽待,宽恕
相当,非常
仓促,匆匆
险遭不幸,险遭不测
习俗,风气
信手,恪守
苍翠,葱茏
察看,查看
踩踏,踹踏
襄理,协理
谗谄,陷害
氛围,空气
阔绰,阔气
乡村,村落
协助,襄助
心荡神摇,心荡神移
磋商,筹商
亏折,亏本
非同寻常,非同小可
效劳,服务
浮夸,虚夸
富商巨贾,富商蓄贾
腥风血雨,血雨腥风
仙山楼阁,仙山琼阁
寸善片长,寸长片善
揆情度理,揆理度情
从天而下,从天而降
方兴未艾,方滋未艾
称誉,称道
纷乱,错乱
放任,放荡
聪慧,贤慧
心灵手巧,心灵手敏
发纵指使,发纵指示
魁梧,雄伟
分别,差异
覆蕉寻鹿,复鹿遗蕉
洗沐,洗浴
休息,小憩
宽阔,空旷
夫子,孔子
凶险,邪恶
诚心,赤心
才华,才力
返老归童,返老还童
长命百岁,返老还童
可耻,耻辱感
丰润,丰满
新奇,新颖
风味,风韵
采摘,采撷
兴废,兴衰
反对,反驳
腐化,沉沦
熊罴之士,熊虎之士
鲜嫩,新鲜
消灭,销毁
风起云涌,风卷云涌
废然而返,虚此一行
心花怒放,欣喜若狂
拂衣,拂袖
触物伤情,触目伤怀
出师,发兵
风餐露宿,餐风沐雨
雪恨,雪耻
昆虫,虫豸
风马不接,风马牛不相及
困惑,猜疑
雄心万丈,雄心壮志
熙来攘往,纷至杳来
详备,详尽
冲州撞府,冲州过府
唇揭齿寒,巢倾卵破
反客为主,喧宾夺主
先声夺人,先礼后兵
响彻云际,响彻云霄
付之一笑,嗤之以鼻
哭泣,抽泣
放任,放手
发愤,奋发
舛误,错误
烦琐,繁杂词语
序言,绪论
储存,储备
训练有方,训练有素
飞觥献斝,飞觥走斝
浮生一梦,浮生若梦
开心见诚,开诚相见
喜欢,心爱
撮土为香,撮土焚香
废寝忘食,枵腹从公
扶养,抚养
防患未然,防患未萌
仇恨,仇隙
学徒,学生
粲焕,鲜丽
雄兵,雄师
朽木不可雕,朽木不雕
出语成章,出口成章
筹办,筹划
风烛残年,行将就木
服帖,服理
快速,讯速
风中之烛,风中残烛
畅想,遐想
放纵,放手
喜怒哀乐,喜怒无常
创造,创作
扶老携幼,携幼扶老
雠校,校阅
梵呪,梵咒
寸步不离,形影不离
才智,才情
词章,词翰
兴趣盎然,兴致勃勃
负俗之累,负俗之讥
新仇旧恨,血海深仇
血肉模糊,血肉横飞
秀丽,秀雅
场合,场面
遐迩着闻,遐迩闻名
测度,猜度
传布,传颂
反其道而行之,反治其身
仿效,仿造
心悦神怡,心旷神怡
匆忙,匆匆中
仙姿佚貌,仙姿玉质
沉迷,陷溺
佛口蛇心,笑里藏刀
富可敌国,富堪敌国
惨无人道,惨无人理
飞鸿踏雪,飞鸿雪爪
愁眉不展,蹙额颦眉
富裕,充实
新奇,希奇
辞别,分袂
相关,相干
反经从权,反经行权
显赫,显贵
差池,舛错
克制,胁制
繁芜,错乱
分毫不爽,分毫无爽
创新,翻新
吃力,辛勤
口是心非,心谤腹非
察看,查察
放荡不羁,放荡形骸
开花结果,春华秋实
抗尘走俗,翻山越岭
反复无常,反复不定
副品,次品
恐怕,恐惧
奉侍,服侍
看破,看头
巡查,放哨
凑巧,可巧
蜂拥而起,蜂拥而至
番来覆去,翻来覆去
承上启下,承先启后
分裂,分割
楚才晋用,楚材晋用
向平之愿,向平愿了
响和景从,响答影随
心花怒发,心花怒开
费尽心机,想方设法
蕃昌,繁华
系累,系缚
写意,快意
校正,考订
吃里扒外,吃里爬外
风吹浪打,风吹雨打
发屋,发廊
兄弟,昆季
开宗明义,开门见山
羞耻,羞辱
风尚,风俗
形而上学,玄学
形似,酷似
承上启下,承前启后
潇洒悠闲,逍遥自得
常年累月,长年累月
呴湿濡沫,相濡以沫
狂风怒号,狂风暴雨
反水不收,覆水难收
喜见于色,喜形于色
策动,策画
奉令惟谨,奉命唯谨
负才任气,负才使气
考核,考试
可怒,可悲
分形共气,分形同气
迟缓,迟钝
丰产,丰收
层见错出,层见叠出
夫役,苦力
摧枯折腐,摧枯拉腐
旷日持久,长年累月
相像,相仿
出格,非常
晓喻,晓谕
惭愧,欣慰
心照不宣,心领神悟
瑕玷,瑕疵
心心相印,心领神会
小巫见大巫,相形见绌
犯得着,犯的上
形影相随,形影不离
粉妆玉琢,粉妆玉砌
愁眉锁眼,蹙额愁眉
开罪,触犯
匡衡勤学,穿壁引光
餐风宿雨,餐风宿露
形态,形状
心仪,心动
臭不可当,臭不可闻
开拓,开采
稀疏,稀薄
废寝忘食,发愤忘食
闲荡,闲逛
从前,向日
处所,场所
冁然一笑,冁然而笑
乘鸾跨凤,乘鸾配凤
心如刀绞,心痛如割
开诚布公,胸有城府
行色怱怱,风尘仆仆
蜚短流长,闲言闲语
查办,查究
学富五车,学贯中西
触景伤情,触景生情
超脱,超逸
复兴,复原
楚楚动人,楚楚可人
长生不老,反老还童
训斥,训责
出发,开拔
出奇制胜,出奇致胜
承若,许可
除名,褫职
吃白食,吃白饭
悱恻缠绵,缠绵悱恻
唇亡齿寒,巢倾卵破
喜笑颜开,喜上眉梢
小惩大诫,惩前毖后
风雨如晦,风雨如磐
习性,习惯
考察,访问
凑趣,逢迎
城门失火,城门鱼殃
讽刺,嘲讽
巡逻,放哨
唇亡齿寒,息息相关
苦口婆心,费尽口舌
喜悦,快活
晓行夜住,晓行夜宿
超以象外,超然象外
裁撤,除掉
系风捕影,系风捕景
从容不迫,心平气和
心理,心绪
心中有数,成竹于胸
啜泣,抽咽
吓唬,恐吓
拂拭,擦拭
冲撞,冲犯
次序,次第
奉为圭臬,奉为楷模
残毁,残毁
发奋,奋勉
崇拜,看重
富埒王侯,富有天下
风流倜傥,风流跌宕
放荡不羁,放浪形骸
繁芜,错杂
操心,费心
形象,现象
心如死灰,心灰意懒
肤浅,菲薄
孱羸,消瘦
粉白黛绿,粉白黛黑
下沉,下降
扶持,扶植
空谷幽兰,闲云野鹤
雪泥鸿迹,雪鸿指爪
擦掌磨拳,蠢蠢欲动
心慌意乱,方寸已乱
吵闹,喧斗
发端,开始
考察,参观
恐慑,恐慌
福不重至,福无双至
消灭,消失
逍遥自在,逍遥自得
畅所欲为,畅所欲言
空口无凭,空话无凭
财源,财路
粗茶淡饭,粗衣粝食
抚育,抚养
踌躇,迟疑
开山始祖,开山老祖
次序,序次
开畅,轩敞
看风使船,看风驶船
兴兵,兴师
性子,性质
快捷,迅速
快言快语,心直口快
叙说,叙述
分派,分配
长篇大套,长篇大论
心如刀绞,心如刀割
差别,差距
洗尽铅华,返璞归真
相反,相悖
兴味索然,心灰意冷
行家里手,训练有素
讯息,信息
初试锋芒,初露锋芒
仿效,效颦
促使,催促
逞强好胜,逞强称能
擦拳磨掌,蠢蠢欲动
可怕,恐怖
磕牙料嘴,课嘴撩牙
法子,方法
发怒,愤怒
飞砂走石,飞砂转石
凤凰于飞,夫唱妇随
窥伺,窥测
处之怡然,处之晏然
法式,程序
形式,形状
心愿,渴望
心思,心术
创痍满目,疮痍满目
下不了台,下不来台
开支,开销
悬崖峭壁,悬崖绝壁
喜信,喜讯
惭愧,羞惭
宽洪大量,宽洪海量
防地,防线
兄死弟及,兄终弟及
拆字,测字
繁殖,繁衍
富庶,富饶
渲染,衬托
飞扬,飞腾
惨不忍睹,惨绝人寰
成功,凯旋
修理,修茸
吃力,辛苦
相背,相悖
勘探,勘测
心怀若谷,虚怀若谷
心浮气盛,心高气傲
雄健,雄浑
修炼,修齐
蜂屯蚁杂,蜂屯蚁聚
恳切,诚实
方兴未艾,欣欣向荣
富人,富豪
初露头角,初露锋芒
冲荡,飞漱
闲聊,闲谈
懆急,烦躁
消弭,消除
炽烈,酷热
分开,分散
脆弱,虚弱
风光,风景
开疆展土,开疆拓宇
修旧利废,修旧起废
酬报,酬谢
出幽迁乔,出谷迁乔
宽慰,抚慰
口角,吵嘴
息黥补劓,洗心革面
付之一炬,付之丙丁
萧条,萧疏
乡亲,乡里
克日,克期
粗劣,粗陋
纷至踏来,车水马龙
飞刍挽粒,飞刍挽粟
尘凡,尘世
空中楼阁,虚无飘渺
摧毁,粉碎
星驰电发,星驰电走
反目,反面
信马游缰,信马由缰
防患未然,徙薪曲突
超越,跨越
富裕,敷裕
冲凉,洗澡
宣泄,泄露
藏踪秘迹,藏踪蹑迹
发觉,出现
形式,方式
效率,效用
瞌睡,小憩
心怀,心胸
孝敬,孝顺
测验,测试
池鱼堂燕,池鱼林木
惜墨若金,惜字如金
细密,细腻
细针密线,细针密缕
成千累万,成千上万
岑寂,沉着冷静
新故代谢,新陈代谢
心地,心肠
诚心实意,诚心诚意
防卫,防止
出一头地,出人头地
采薪之忧,采薪之疾
草泽,草野
发展,繁荣
崇论吰议,崇论闳议
绰约多姿,绰约无比
坑诰,苛刻
才人,秀士
学浅才疏,才疏学浅
长辈,长者
限制,范围
兴工,开工
胁肩低眉,胁肩低首
行囊,行装
草草收兵,草草了事
抗衡,抗拒
斜睨,斜视
从此,此后
风华正茂,风度翩翩
耻与为伍,耻与哙伍
奋发图强,奋发蹈厉
衔橛之变,衔橛之虞
猜拳行令,猜枚行令
宽容,宽饶
猖厥,猖狂
昔日,昔时
兴兵动众,行师动众
血肉相连,息息相关
寻根究底,寻本挖源
飞快,迅速
寸阴可惜,寸阴尺璧
显摆,炫耀
休假,放假
下笔成文,下笔成篇
克己奉公,奉公克己
坎阱,陷坑
口是心非,口蜜腹剑
发展,成长
学富五车,腹载五车
罚款,罚金
兴盛,兴起
开门延盗,开门揖盗
心绪恶劣,愁肠寸断
敷衍搪塞,敷衍塞责
扶持,扶助
驯服,驯顺
兴妖作怪,兴妖作乱
心机,心术
朽木粪土,朽木粪墙
方兴未已,方滋未艾
相当,相称
细则,细目
仇恨,愤恚
新婚燕尔,新昏宴尔
驯服,克服
发回,发还
称王称伯,称王称霸
扶摇直上,欣欣向荣
刻肌刻骨,刻骨铭心
香闺绣户,香闺绣阁
下流,下游
参军,从戎
巡礼,巡行
产品,产物
宽宥,宽恕
开眉展眼,开眉笑眼
侃侃而谈,夸夸其谈
复蹈其辙,复蹈前辙
称呼,称说
心中有鬼,心怀鬼胎
学以实用,学以致用
喜气洋洋,春风得意
相近,附近
修改,窜改
成群结队,辍毫栖牍
炽烈,炽热
村塾,村学
成群结队,成群逐队
繁重,沉重
下属,下级
刻骨仇恨,血海深仇
初度,初次
苦口婆心,苦口相劝
出头露面,出人头地
扶正祛邪,扶正黜邪
兴会,兴味
风云,风波
迟缓,迟笨
穴洞,窟窿
反馈,反应
操练,训练
冲击,挫折
佛头加秽,佛头着粪
郤驷,隙驷
希望,蓄意
晨光,晨曦
性子,性格
分歧,差异
空位,空地
摧毁,拆卸
夏天,夏季
奉迎,逢迎
行动,行径
快刀斩乱丝,快刀斩乱麻
抄写,抄录
发售,销售
长久,长远
烦嚣,嘈杂
复返,返回
惨酷,残暴
妇人醇酒,醇酒妇人
愤慨,愤激
丑恶,丑陋
宽厚,宽宏
斜阳,夕阳
风烛残年,风烛之年
凤凰于飞,凤皇于蜚
信守,恪守
困苦,辛苦
心中有数,胸中有数
相像,肖似
厕纸,草纸
成就,成果
限日,限期
啜菽饮水,歠菽饮水
下坂走丸,下阪走丸
口传心授,口耳相传
消逝,消失
反击,抗击
兴趣,酷好
粲花之舌,粲花之论
称扬,称道
抚躬自问,反躬自问
分外,非分
尘土,尘埃
可以,可能
出售,出卖
修削,窜改
乘间伺隙,乘间抵隙
凤毛麟角,空谷足音
相信,肯定
幸福,快乐
邪门歪道,邪魔外道
层峦叠嶂,崇山峻岭
拆除,废除
拆除,撤除
膝行匍伏,膝行蒲伏
撤离,撤退
产业,财富
扶危济困,扶弱抑强
习染,熏染
奚落,嘲弄
出类拔萃,超群绝伦
旭日东升,旭日初升
休戚与共,风雨同舟
丰盈,丰满
详实,详确
残毁,残缺
洗垢求瑕,洗垢索瘢
心寒胆战,心寒胆碎
献曝,献芹
楚楚可怜,小鸟依人
分辨,分离
触景生怀,触景生情
奉为神明,奉如神明
促成,促进
宽敞,开阔
相映成趣,相映生辉
相差,相差
春风满面,春风得意
持久,长期
渴慕,渴望
分列,陈列
胸次丘壑,胸有丘壑
防微杜渐,防萌杜渐
小屈大伸,小屈大申
畅达,畅通
心如古井,心如止水
呈报,陈诉
魁梧,魁岸
凶狠,残忍
旷古绝伦,空前绝后
负老提幼,负老携幼
才貌双全,才貌超群
船主,船长
栩栩如生,栩栩欲活
黜幽陟明,黜幽陟明
插科使砌,插科打诨
趁势收篷,趁势落篷
形影相随,出入相随
幡然悔悟,翻然改悔
出类拔萃,超尘拔俗
愁眉苦眼,愁眉苦脸
防微杜衅,防萌杜渐
嘻皮笑脸,嬉笑怒骂
新人,新秀
息灭,消亡
分派,分拨
旷岁持久,旷日经久
分布,分散
番笕,肥皂
刳胎杀夭,刳胎焚夭
出乎意料,出乎预料
下气怡声,下气怡色
风和日暖,风和日丽
倡始,倡导
慈悲,慈爱
持盈保泰,持盈守成
兴兵,出兵
捶胸顿足,槌胸蹋地
沸反盈天,沸反连天
出人意料,出其不意
弦外之意,弦外有音
休战,息兵
持刀动杖,持刀执棍
寸晷,寸阴
巢木居野,穴居野处
悬念,系缚
销声匿迹,销声敛迹
沉闷,烦闷
凡夫,凡人
废品,废物
常例,常规
朽木难雕,朽棘不雕
学如登山,学如穿井
反咬一口,反面无情
凶信,凶讯
行色仓皇,行色匆匆
丰厚,丰盛
出息,长进
巡察,巡缉
弦外之意,弦外之音
空口白话,空口说白话
厕所消息,小道消息
口角流涎,垂涎欲滴
苦处,苦楚
纯朴,纯碎
风貌,风采
愁肠九转,愁肠寸断
吵架,翻脸
愤世嫉俗,愤世疾俗
赐墙及肩,才疏学浅
凶人,凶徒
序言,序文
飞沙扬砾,飞砂扬砾
长命,长寿
奋发图强,奋勇前进
沉李浮瓜,浮瓜沉李
聪惠,聪敏
新居,新房
心口不一,虚情假意
吵杂,烦扰
秀美,秀雅
孱弱,消瘦
削铁如泥,吹发可断
怅然,恻然
小气,抠门
心折首肯,心服首肯
先辈,先进
雪案萤灯,雪案萤窗
选取,选用
需求,须要
刺目,刺眼
访候,访问
口舌,吵嘴
效忠,效愚
烦琐,繁琐
狭小,狭窄
出奇划策,出谋划策
沉声静气,心平气和
向壁虚构,向壁虚造
风刀雪剑,风刀霜剑
乡村,乡间
传为佳话,传为美谈
心惊肉跳,心胆俱裂
抚摩,抚摸
苛吏,酷吏
聪明伶俐,聪明智慧
发号布令,发号施令
风前残烛,风中残烛
兴微继绝,兴灭继绝
垦切,诚挚
吹毛索瘢,吹毛索疵
方今,此刻
崇论宏议,崇论闳议
春意盎然,春深似海
开花结果,开华结实
策动,策划
苦思冥想,苦思恶想
愤世嫉俗,愤时嫉俗
闲言碎语,闲言长语
先入为主,先入之见
反躬自省,反求诸己
从长商议,从长计议
沧海桑田,翻天覆地
撤销,撤除
希世之宝,希世之珍
纯正,纯粹
显目,显眼
夸大其词,夸大其辞
仓卒,匆促
心领意会,心领神会
乘其不备,趁其不备
创制,成立
分秒必争,虚度年华
抽象,空洞
差别,阔别
喜闻乐见,脍炙人口
可恶,可憎
悬河泻水,口若悬河
信奉,信念
心脏,腹黑
信心百倍,成竹在胸
喜眉笑眼,喜上眉梢
遐迩著闻,遐迩闻名
喜悦,欣忭
开垦,开辟
长枕大衾,长枕大被
从头到尾,从头至尾
飞砂走石,飞沙走石
叱咤风云,叱嗟风云
孔席墨突,风尘仆仆
魁伟,魁岸
齿牙为猾,齿牙之猾
困穷,繁难
成亲,成家
成群结党,成群集党
长辔远御,长辔远驭
愁眉不展,愁云满面
才高行厚,才高行洁
出生,出身
充斥,充满
奉公不阿,奉公守法
浮文巧语,空言虚语
出力,效能
词穷理屈,辞穷理屈
先知先觉,先见之明
床下安床,床上施床
冲撞,冲克
希望,希冀
草木皆兵,风兵草甲
发掘,开掘
宽阔,开朗
修长,细长
坑害,陷害
残余,残存
车马填门,车马盈门
胸有定见,胸有成竹
相合,相投
超等,超级
雄唱雌和,夫唱妇随
分明,显然
邪路,邪道
从属,附属
兴趣,兴致
贩夫驺卒,贩夫走卒
副理,襄助
风云人物,风流人物
宣教,宣道
小家子气,小手小脚
销声匿迹,藏形匿影
寻找,寻觅
措手不及,猝不及防
复杂,繁复
凡夫俗子,凡桃俗李
愁城,苦海
侃侃而谈,夸夸其言
抚躬自问,抚心自问
可疑,嫌疑
萧规曹随,陈陈相因
宠嬖,宠爱
反脸无情,反面无情
凶险,险恶
繁茂,繁盛
参差,错落
相信,靠谱
嗤笑,耻笑
磋议,筹商
产生,出现
克日,刻期
冯唐已老,冯唐易老
消磨,消耗
开刀,开辟
齿如含贝,齿如齐贝
寻常,泛泛
储藏,储备
挟制,胁制
