女,少女
望风而逃,闻风丧胆
望文生义,顾名思义
危殆,危急
危如累卵,危在旦夕
危如累卵,稳如泰山
威逼,威胁
威望,威信
威严,森严
威严,威风
威严,威武
微波荡漾,微波粼粼
微乎其微,微不足道
为虎作伥,为民除害
为非作歹,为所欲为
围歼,围剿
违背,违反
违法,守法
违背,违犯
违背,违抗
违逆,忤逆
唯命是从,唯唯诺诺
伪造,捏造
萎靡不振,神气十足
畏首畏尾,敢作敢为
慰劳,慰问
温柔,温顺
温文尔雅,文质彬彬
文风不动,纹丝不动
文化,文明
稳定,稳固
稳健,稳重
稳妥,稳当
问长问短,问寒问暖
瓮中之鳖,瓮中捉鳖
我行我素,刚愎自用
污蔑,诬蔑
诬告,诬陷
诬害,诬陷
无边无际,无边无涯
无端,无故
无恶不作,无所不为
无法,无奈
无计可施,无能为力
无可厚非,无可非议
无量,无穷
无名小卒,无名英雄
无限,无穷
无视,疏忽
无所事事,无所作为
无微不至,无所不至
无须,毋庸
无忧无虑,无牵无挂
无与伦比,无可比拟
平白无故,无缘无故
五光十色,五彩缤纷
五光十色,五颜六色
色彩斑斓,五颜六色
五花八门,五颜六色
务实,务虚
物质,物资
误会,误解
神仙道,神仙道
属实,失实
武官,文官
无心,无意
无能,能干
无际,无边
问心有愧,问心无愧
文治,武功
惟一,唯一
时髦,时尚
哽咽,呜咽
设施,设备
完整无缺,完好无损
逆境,顺境
公德,私德
湿热,干冷
生手,熟手
生活,生存
神气,神情
闪烁,闪动
色调,色彩
平常,平时
偏心,公平
偏差,偏向
膨胀,收缩
培修,维修
胖子,瘦子
怄气,生气
女子,男子
扭转,改变
扭曲,歪曲
逆水,顺水
内政,外交
内债,外债
内销,外销
内向,外向
内线,外线
内务,外务
内伤,外伤
内勤,外勤
内科,外科
内景,外景
内奸,外敌
内患,外患
内涵,外延
内查,外调
内部,外部
过来,过去
果断,果决
国货,外货
光亮,光洁
贯穿,贯通
构想,设想
共性,个性
公有,私有
公心,私心
公事,私事
高瞻远瞩,鼠目寸光
刚劲,刚毅
改过,改正
改名,更名
盖章,盖印
概括,归纳综合
概念,观点
肝火,怒气
感激不尽,感激涕零
感冒,伤风
感慨,感伤
感应,感到
刚烈,刚强
刚正,朴直
刚直,朴直
岗位,岗亭
高慢,高傲
高妙,高明
高攀,攀附
高屋建瓴,高高在上
高招,高着
告白,广告
告辞,告别
告罪,陪罪
戈壁,沙漠
割据,盘据
歌女,女乐
歌咏,歌颂
隔壁,隔邻
各尽所能,各展其长
各类,各种
各执一词,各不相谋
跟从,跟班
更正,改正
耕耘,耕作
耕种,耕作
工厂,工场
工整,工致
弓手,射手
公共场所,公开场合
公函,公文
公判,公审
公牍,公文
公事,公务
公证人,评判人
公子哥儿,膏粱子弟
公子王孙,纨 子弟
攻下,攻陷
构想,构思
姑娘,女人
孤傲,孤独
高慢,孤高
孤僻,孤介
古董,骨董
骨肉,骨血
鼓掌,拍手
故交,故友
故里,故乡
故交,故人
瓜分,朋分
寡妇,未亡人
挂心,挂记
拐杖,手杖
关节,枢纽
关口,关隘
关连,干系
观察,观测
官价,公价
官吏,仕宦
官署,官厅
官司,讼事
光彩,光华
光芒,光泽
广漠,广阔
归途,归程
闺房,内室
鬼怪,鬼魅
鬼混,厮混
鬼迷心窍,鬼摸脑壳
贵宾,高朋
贵客,高朋
滚蛋,滚开
国粹,国学
国法,王法
国外,外洋
干涉,过问
哪里,那里
内哄,内乱
内疚,忸怩
内乱,内乱
内涵,内在
那边,那里
那个,谁人
耐烦,耐性
男儿膝下有黄金,男子汉大丈夫
男人,男子
南边,南方
难得,难过
难懂,难明
难解,难明
难舍难分,藕断丝连
脑袋,脑壳
能言善辩,舌粲莲花
光阴,年华
年纪,年数
年头,年初
年尾,年末
年月,年代
念佛,念经
凝神,凝思
凝望,凝视
浓妆,盛饰
浓妆艳抹,浓装艳裹
奴婢,仆众
奴隶,仆从
奴婢,奴仆
肝火,怒火
女婢,女侍
女优,女伶
女中豪杰,女中丈夫
趴下,爬下
拍马屁,捧臭脚
排出,排挤
牌坊,牌楼
攀援,攀附
盘查,盘问
盼愿,盼望
滂湃,滂沱
跑江湖,跑码头
跑马,赛马
赔礼,赔罪
佩戴,佩带
配合,共同
配置,设置
烹饪,烹调
捧场,恭维
碰钉子,碰鼻
碰着,碰到
蓬首垢面,披头散发
披阅,披览
劈腿,劈叉
疲惫,疲劳
脾性,脾气
片面之词,片面之言
片晌,片刻
偏爱,偏幸
漂荡,飘零
漂流,漂泊
飘荡,飘零
瞥见,望见
拼凑,拼集
频繁,频仍
平旦,平明
平局,平手
评论,批评
评述,批评
评头论足,说长道短
凭证,凭据
屏障,屏蔽
破坏,破损
剖释,剖判
跟班,仆从
扑面,劈面
扫墓,省墓
杀绝,扑灭
杀一儆百,杀鸡骇猴
沙滩,沙岸
山川,山水
闪烁,闪灼
商店,市肆
商店,商铺
赏光,赏脸
设宴,设席
赦免,赦宥
摄影,拍照
身材,身段
身后,死后
神志,神态
甚至,乃至
渗出,排泄
生机勃勃,生气勃勃
生计,生存
生平,平生
生死之交,刎颈交
声息,声气
省城,省垣
盛情,盛意
尸骨,尸骸
时局,时势
时势所迫,格于环境
始末,委曲
世世代代,生生世世
市价,时价
示范,树模
事后,过后
事务,事件
事宜,事件
网络,收集
收条,收据
瘦骨如柴,品格清高
书本,书籍
刷新,革新
甩掉,抛弃
爽脆,爽利
顺利,顺遂
说谎,撒谎
死有余辜,死不足惜
四季,四序
松懈,松弛
送命,送死
颂扬,歌颂
搜索,搜刮
素昧生平,素不相识
速度,速率
岁数,年龄
光阴,岁月
缩短,收缩
外祸,外患
外套,外衣
生手,外行
忘掉,忘记
望穿秋水,望眼将穿
危机,危急
委婉,婉转
固若金汤,稳如泰山
偏差,误差
彷佛,似乎
彷徨歧途,徘徊歧路
改弦易辙,改变方式
干瘦,干瘪
干涉,干预干与
干证,旁证
甘霖,甘雨
甘愿宁可,甘心
感愧并交,感愧交集
高古,古雅
高峻,高大
无忧无虑,高枕而卧
高作,高着
割肉医疮,望梅止渴
阁房,内室
各自为政,各不相谋
各异,各别
各自进行,各行其是
给与,授与
更次,更头
耕具,农具
弓,弓套
公差,公役
公断,公评
勾通,勾结
沟渠,水渠
狗洞,狗窦
估计打算,盘算推算
孤拐脸,孤拐面
凝结,固结
故旧,素交
故宅,故园
寡居,孀居
管库,司库
管帐,司帐
贯注,灌注
光溜溜,光秃秃
圭表标准,圭臬
圭臬标准,圭表
过人才略,盘盘大才
审问,过堂
格格难入,格格不入
内里,内中
内人,内子
闺阁,内室
内争,内
内乱,内
那处,那里那边
泥坑,泥淖
泥塘,泥淖
腻滑,平滑
年底,岁尾
岁终,年末
年深日久,年湮代远
念兹在兹,念念不忘
捏词,设辞
牛骥同皂,泥沙俱下
农人,农民
弄月,赏月
怒气冲发,怒气冲冲
牌号,商标
牌照,派司
攀龙趋凤,攀龙附凤趋炎附势
盘费,盘川
盘货,盘点
判词,判语
庞大无比,硕大无朋
抛摆,抛撇
抛荒,疏弃
抛清,撇清
跑堂,侍者
陪侍,随侍
喷鼻,喷鼻香
喷香,喷鼻香
蓬葆,蓬头
蓬菖人,蓬户士
蓬葆,蓬发
蓬莱仙境,蓬瀛仙境
蓬门,蓬荜
碰运气,试试看
披垂,披散
披荆棘,披荆斩棘
披星带月,披霜冒露
霹雳战,闪电战
皮郛,皮囊
皮娇肉嫩,十指尖尖
皮毛,外相
匹马不还,匹马只轮
圮绝,屏绝
僻典,僻事
片甲不留,屁滚尿流
骈体文,四六文
品评,批评
平地一声雷,石破天惊
平素,平昔
平展,平坦
平正,平允
评断,评议
屏气凝神,收视返听
萍泊,萍浮
破耗,破钞
跑堂,仆欧
铺排张扬,铺张扬厉
梗直,朴直
普度众生,普济群生
普度众生,普渡众生
三回九曲,三回九转
丧父,失怙
丧母,失恃
光彩,色泽
山峰,山岳
煽惑,煽动
闪烁其词,深加隐讳
上彀,上网
时光,韶光
韶华,年光光阴
少气无力,死气沉沉
设置装备摆设,设备
申饬,告诫
身故,身死
深藏若虚,守愚藏拙
深图远虑,深思熟虑
深宵,更阑
神采飞扬,神采奕奕
生机,生气希望
生生不已,生息不断
生性,素性
胜券在握,瓮中捉鳖
笙歌,歌乐
省察,省检
失算,失察
失色,失神
失信,失约
十足,实足
石工,石匠
时不我待,时不再来
史乘,史籍
史乘,史书
矢誓,矢语发誓
市道市情,市面
市廛,市肆
适才,刚才
搜聚,收罗
手简,手翰
手足胼胝,手足重茧
守兵,戍卒
守分,守拙
书函,书札
书函,书柬
书信,手札
纾难,抒难
关节,枢纽关头
树范,树模
庶务,碎务
干脆,爽性
水点,水滴
水费,水脚
水深火热,水火倒悬
顺服,顺从制服
说三道四,说长道短
私见,偏见
私意,私衷
死而复活,死去活来
伺隙,俟机
送还,归还
素愿,素志
王谢,望族
忘形,失态
委顿,疲劳
委果,委的
委宛,宛转
未可厚非,无可非议
公牍,文移
闻风而逃,闻风而动
握别,告别
五十步笑百步,龟笑鳖无尾
误事出事,失事
