哀兵必胜,骄兵必败
举荐,引荐
举一反三,融会贯通
拒绝,谢绝
具体,详细
具有,具备
具有,拥有
剧变,巨变
剧场,戏院
据守,坚守
聚首,聚会
聚精会神,目不转睛
集合,聚拢
娟秀,秀丽
捐献,募捐
捐献,捐赠
眷恋,依恋
决策,决议
决定,决议
决计,决心
决然,毅然
信心,决心
决一死战,决一雌雄
决定,抉择
绝处逢生,九死一生
绝对,相对
觉得,认为
觉返迷津,迷途知反
觉悟,觉醒
攫取,牟取
均匀,匀称
俊秀,英俊
麻痹,麻木
麻布,夏布
埋没,湮没
掩埋,埋葬
买卖,交易
卖力,卖命
蛮横,野蛮
蛮夷,戎狄
满意,满足
谩骂,漫骂
慢吞吞,慢悠悠
漫不经心,麻痹大意
芒刺在背,如坐针毡
盲眼,瞎眼
毛笔,羊毫
茂发,向荣
冒失,莽撞
眉飞色舞,眉开眼笑
眉飞色舞,扬眉吐气
眉目传情,目挑心招
媒婆,牙婆
江河日下,每况愈下
美丑,妍媸
美观,雅观
美好,美妙
美满,圆满
门可罗雀,门庭若市
门庭冷落,门庭若市
闷闷不乐,郁郁不乐
闷闷不乐,郁郁寡欢
萌发,萌生
激烈,猛烈
梦话,呓语
梦境,梦幻
弥漫,洋溢
迷惑不解,疑惑不解
迷迷糊糊,模模糊糊
迷惘,迷惑
密密层层,密密麻麻
密密层层,密密丛丛
绵亘,绵延
免得,以免
面孔,面貌
面目可憎,言语无味
面前,眼前
面善,面熟
苗条,修长
描画,描绘
描写,描绘
描写,描述
妙趣横生,妙不可言
妙语连珠,妙语如珠
灭亡,消亡
民意,民心
迅速,敏捷
名存实亡,有名无实
名列前茅,金榜题名
名列前茅,名落孙山
名望,名气
名望,名声
名噪一时,名闻遐迩
明白,明确
暧昧,明朗
明丽,明媚
明亮,晶莹
明目张胆,明火执仗
明显,显明
明显,显著
明争暗斗,明枪暗箭
铭记,铭刻
命根子,命脉
命途坎坷,偃蹇困穷
命运,运气
模仿,模拟
模糊,隐约
朦朦胧胧,模模糊糊
隐隐约约,模模糊糊
影影绰绰,模模糊糊
模样,样子容貌
摩肩接踵,人山人海
摩拳擦掌,跃跃欲试
磨练,磨难
莫明其妙,莫名其妙
漠不关心,见死不救
漠不关心,麻木不仁
漠不关心,袖手旁观
漠不关心,漠然置之
按部就班,墨守成规
因循守旧,墨守成规
默默无闻,遐迩闻名
默许,默认
眸子,眼珠
谋生,营生
木曜日,星期四
目标,目的
目不暇接,应接不暇
目睹,目击
目光,眼光
目迷五色,眼花撩乱
目下十行,一目十行
目炫,眼花
目眩,眼花
沐猴而冠,衣冠禽兽
沐雨栉风,吸风饮露
燃烧,熄灭
冉冉,徐徐
惹起,引起
惹人,引人
热忱,热情
热点,热门
热火朝天,热气腾腾
热火朝天,如火如荼
热烈,热闹
热心,热情
人才辈出,人才济济
人道,人性
人面兽心,衣冠禽兽
人情世故,人之常情
人世,人间
人云亦云,亦步亦趋
忍耐,忍受
忍气吞声,饮泣吞声
忍辱负重,忍无可忍
忍气吞声,忍无可忍
荏弱,柔弱
认识,意识
以为,认为
任劳任怨,怨天尤人
任人唯亲,任人唯贤
任务,义务
妊妇,孕妇
仍旧,仍然
依然,仍然
日薄西山,每况愈下
与日俱增,日积月累
日新月异,一日千里
日曜日,星期日
荣幸,幸运
容光焕发,精神抖擞
容光焕发,精神焕发
模样,容貌
容许,允许
容颜,相貌
溶化,消溶
熔化,融化
融会,融合
冗长,漫长
冗长,洗练
冗长,冗杂
纤弱,柔弱
肉体,精神
肉痛,心痛
如出一辙,一模一样
如此,如斯
如何了局,伊于胡底
锦上添花,如虎添翼
如今,现在
如狼似虎,凶神恶煞
如数家珍,一五一十
如同,犹如
润色,润饰
修饰,润饰
若隐若现,若有若无
希罕,希奇
希望,愿望
息事宁人,相安无事
就义,牺牲
稀罕,稀奇
稀少,稀疏
嬉皮笑脸,喜笑颜开
习气,习惯
习性,习惯
洗濯,洗涤
爱好,喜爱
喜出望外,喜从天降
爱好,喜欢
喜剧,笑剧
嘻皮笑脸,喜笑颜开
眉飞色舞,喜形于色
喜逐颜开,笑逐颜开
细长,修长
细目,详目
细微,纤细
细小,渺小
狭隘,狭窄
狭路相逢,冤家路窄
狭小,狭窄
遐想,遥想
下贱,下流
下里巴人,阳春白雪
下午,下战书
下午,下昼
先发制人,先声夺人
先发制人,先下手为强
先兆,预兆
纤尘不染,一尘不染
鲜明,鲜亮
鲜明,显明
鲜艳,娇艳
闲适,安逸
弦外之音,言外之意
贤明,英明
嫌弃,厌弃
险峻,险恶
现象,景象
限制,限度
羡慕,爱慕
相称,相当
相得益彰,井水不犯河水
相得益彰,相形见绌
相干,相关
面貌,相貌
相信,信任
黯然失色,相形见绌
享用,享受
响遏行云,响彻云霄
想入非非,异想天开
项目,名目
骁勇,勇猛
消耗,消费
消弭,消除
歼灭,消灭
消融,融化
消散,消失
消声匿迹,偃旗息鼓
消逝,消失
消息,新闻
销声匿迹,偃旗息鼓
小巧玲珑,娇小玲珑
小人,君子
小童,幼童
小心翼翼,谨小慎微
孝敬,孝顺
效力,效率
效力,效能
校订,校正
校订,校对
检阅,校阅阅兵
笑脸,笑容
笑貌,笑容
笑颜,笑容
歇息,休憩
歇息,休息
协定,协议
谐和,协调
泄漏,泄露
心肠,心地
心慈手软,心狠手辣
心服口服,心悦诚服
心花怒放,兴高采烈
心怀叵测,襟怀坦白
心灰意懒,心灰意冷
意气消沉,心灰意冷
心机,心思
心惊肉跳,心有余悸
心境,心情
心坎,心田
心满意足,心如刀绞
心理,心思
心心相印,貌合神离
心心相印,心有灵犀一点通
心胸,心怀
心血,血汗
心猿意马,心不在焉
心照不宣,心领神会
心直口快,心口如一
辛苦,辛劳
辛苦,辛勤
欣喜,惊喜
欣喜,欣慰
新房,新居
新来乍到,下车伊始
新奇,新颖
新鲜,新颖
薪尽火灭,一刀两断
信奉,信仰
信赖,信任
信心,信念
信用,信誉
兴风作浪,兴妖作怪
欣喜若狂,兴高采烈
兴致勃勃,兴高采烈
兴建,兴修
兴隆,兴旺
兴起,崛起
兴趣,兴致
兴隆,兴盛
兴趣,兴味
星斗,星辰
行动,举动
行动,行为
行迹,行踪
行动,行径
形势,局势
形态万千,形态各异
形影不离,如影随行
觉悟,醒悟
幸而,幸亏
幸好,幸亏
性格,性情
凶暴,凶狠
凶恶,凶狠
凶悍,凶猛
襟怀胸襟,胸怀
胸中有数,胸有成竹
胸中有数,胸中无数
雄浑,雄壮
雄健,雄壮
雄姿英才,金戈铁马
休养生息,养精蓄锐
修改,修正
修好,修睦
营建,修建
修缮,修理
修缮,修葺
羞怯,羞涩
绣花枕头,羊质虎皮
须要,需要
虚假,虚伪
虚拟,虚构
需求,需要
许可,允许
许愿,许诺
序文,序言
叙说,叙述
絮絮不休,絮絮叨叨
宣布,宣告
宣传,宣扬
喧哗,喧闹
悬殊,迥异
悬崖勒马,迷途知返
悬崖勒马,一失足成千古恨
选择,抉择
学问,学识
学员,学生
银白,雪白
雪耻,雪恨
血流成河,血流漂杵
血缘,血统
寻欢作乐,寻花问柳
寻觅,寻找
寻食,觅食
巡查,巡视
驯良,驯顺
询问,讯问
徇情枉法,徇私舞弊
压抑,压制
压榨,压迫
押送,押解
哑口无言,摇唇鼓舌
哑口无言,一时语塞
哑忍,隐忍
烟消云散,云消雾散
延长,延伸
严格,严厉
严谨,谨严
严格,严峻
严重,严峻
严酷,严峻
严肃,严正
言传身教,现身说法
言而无信,言而有信
言而无信,一诺千金
言简意赅,要言不烦
言论,舆论
言行一致,言行不一
言语,语言
沿袭,因循
研究,研讨
掩盖,掩饰
掩人耳目,狡兔三窟
眼力,眼光
目迷五色,眼花缭乱
眼皮,眼帘
演变,演化
明丽,艳丽
鲜艳,艳丽
阳沟,阴沟
阳间,阴间
洋洋得意,怏怏不乐
仰给,仰食
仰视,仰望
养分,营养
养虎遗患,欲擒故纵
竭尽全力,养精蓄锐
妖言惑众,异端邪说
摇摆,摇晃
摇摆,摇曳
摇头摆尾,摇头晃脑
摇摇晃晃,摇摇摆摆
遥相呼应,一唱一和
要素,因素
也许,兴许
野心勃勃,雄心勃勃
一朝一夕,久而久之
一干二净,一尘不染
一成不变,原封不动
一蹴而就,一挥而就
一帆风顺,一路顺风
一帆风顺,一路平安
一概,一律
一气呵成,一挥而就
一见钟情,一见倾心
一见钟情,一见如故
一箭双雕,一举两得
一蹶不振,一败涂地
一刻千金,一寸光阴一寸金
一落千丈,一泻千里
一马平川,一望无际
一面之交,莫逆之交
一鸣惊人,一举成名
截然不同,一模一样
迥然不同,一模一样
一目了然,一览无余
一盘散沙,人心涣散
家徒四壁,一贫如洗
一穷二白,一贫如洗
一无所有,一贫如洗
一气呵成,一鼓作气
一窍不通,一无所知
一丘之貉,一路货色
一扫而光,一网打尽
一扫而光,一扫而空
一丝不苟,精打细算
一同,一起
一往无前,勇往直前
一无所长,一技之长
一问三不知,一无所知
一向,一贯
言简意赅,一针见血
一语道破,一针见血
衣冠楚楚,衣衫褴褛
依从,允从
依附,依靠
仍旧,依旧
依附,依赖
迷恋,依恋
依然如故,一了百了
依托,依靠
怡然自得,悠然自得
移船就础,移樽就教
遗臭万年,一代风流
遗言,遗嘱
遗言,遗愿
遗址,遗迹
疑问,疑难
以德报怨,以怨报德
以强凌弱,弱肉强食
言传身教,以身作则
以逸待劳,一张一弛
以致,以至
义愤填膺,满腔怒火
异常,异样
异乎寻常,与众不同
抑止,抑制
逸闻,逸事
意料,预料
意气风发,英姿飒爽
意图,用意
意味,象征
意义,意思
因此,因而
因地制宜,就地取材
因为,由于
因循守旧,旧调重弹
阴沉,阴森
阴霾,阴郁
荫蔽,隐蔽
消息,音讯
银河,星河
引导,引诱
介绍,引见
引用,援用
饮水思源,叶落归根
隐藏,隐蔽
隐瞒,瞒哄
隐私,隐衷
隐隐约约,模摸糊糊
应当,应该
应对,应答
应付自如,应接不暇
应用,运用
英豪,英雄
英魂,英灵
英勇,勇敢
英姿,雄姿
营建,营造
营私舞弊,结党营私
营私舞弊,徇私舞弊
隐射,影射
映托,映衬
映照,映射
拥戴,拥护
拥堵,拥挤
永垂不朽,永世长存
永久,永恒
永久,永远
永诀,永别
永久,永世
英勇,勇猛
义无反顾,勇往直前
用场,用处
用途,用处
优秀,优良
幽美,优美
优柔寡断,犹豫不决
优胜,优越
优异,优良
忧愁,忧虑
忧愁,忧伤
哀伤,忧伤
忧郁,忧伤
幽魂,幽灵
幽禁,软禁
幽静,安静
幽美,幽丽
幽深,幽邃
悠长,悠久
悠闲,安闲
悠远,遥远
犹疑,犹豫
犹豫不定,举棋不定
油滑,圆滑
油腔滑调,油嘴滑舌
油头滑脑,油嘴滑舌
友爱,友好
友情,友谊
有板有眼,一板一眼
有备无患,有恃无恐
有口皆碑,交口称誉
有口皆碑,雅俗共赏
有目共睹,引人注目
有板有眼,有声有色
井井有条,有条不紊
有条有理,井然有序
有隙可乘,有机可乘
有眼无珠,有眼不识泰山
有益,有利
有勇无谋,勇而无谋
诱导,引诱
诱惑,引诱
愚笨,愚蠢
愚昧,愚蠢
与日俱增,一劳永逸
与世长辞,一命呜呼
语重心长,意味深长
预报,预告
预定,预约
预付,预支
预感,预见
预感,预料
掩人耳目,欲盖弥彰
欲望,愿望
誉满天下,举世闻名
元旦,新年
原籍,寄籍
缘由,原因
怨恨,怨尤
怨声载道,民怨沸腾
约请,邀请
心灰意懒,跃跃欲试
伎痒,跃跃欲试
运营,经营
运转,运行
晕头转向,蒙头转向
远因,近因
远视,近视
远亲,近亲
远郊,近郊
远海,近海
远程,近程
鹬蚌相争,渔翁得利
一蹴而就,欲速不达
有气无力,精神焕发
应酬,应付
隐没,消失
阴文,阳文
以其人之道，还治其人之身,以眼还眼
夜班,日班
羡慕,艳羡
眼熟,眼生
先生,学生
煊赫,显赫
新书,旧书
新式,旧式
心烦意乱,心慌意乱
项庄舞剑,意在沛公醉翁之意不在酒
相辅相成,相反相成
闲聊,闲谈
喜色,忧色
稀稀拉拉,密密麻麻
夕阳,旭日
星散,云集
巡查,巡逻
迷人,诱人
柔美,优美
形容,描述
积攒,积累
软化,硬化
江河日下,如日方升
如法炮制,依样画葫芦
人喊马嘶,人困马乏
染指,介入
眼力,目力
模式,形式
明码,密码
名不副实,名不虚传
面生,面熟
没救,有救
毛重,净重
满载而归,一无所获
卖主,买主
卖价,买价
麻利,敏捷
静止,运动
晋职,降职
近景,远景
远洋,近海
今天,明天
喜出望外,叫苦不迭
蛟龙得水,如鱼得水
建设,建立
简装,精装
冗长,简短
减速,加速
减轻,加重
俭省,俭约
家养,野生
记过,记功
吉兆,凶兆
积存,积蓄
安居乐业,安身立命
机械,机器
机要,秘密
机缘,机遇
鸡飞狗跳,鸡飞狗走
鸡飞狗跳,鸡犬不宁
鸡犬升天,一人得道
积储,积蓄
积德,行善
积习难改,积重难返
基层,下层
激愤,激怒
羁绊,拘束
吉凶,休咎
即刻,马上
急变,遽变
急流,激流
急忙忙,急乎乎
计较,计算
记号,暗号
记取,记着
记录,记实
记忆,影象
记住,记着
记录,纪录
忌辰,忌日
际遇,境遇
佳话,韵事
佳丽,美人
佳偶天成,嘉偶天成
家信,家书
家族,家属
驾驭,驾御
假充,冒充
假仁假义,假装好人
假日,沐日
假意,冒充
奸棍,奸徒
奸滑,奸诈
奸狡,奸刁
坚不可摧,坚如盘石
坚忍,坚固
坚韧,坚固
坚实,坚固
坚忍,坚贞
岌岌可危,间不容发
监管,羁系
缄口不言,默不作声
减削,节减
剪刀,铰剪
检点,检核
简捷,简便
见识,见地
建树,建立
交代,交接
友爱,交情
交友,结交
郊外,郊野
骄贵,骄矜
角色,脚色
洁白,皎洁
较劲,较量
教养,教化
教养,修养
阶梯,门路
接班,交班
接班人,接棒人
接手,接办
街头,陌头
节省,节减
节省,节流
劫持,挟制
劫数,劫运
杰作,佳构
蛮横,桀骛
解愁,浇愁
介怀,介意
借道,借路
借条,借单
今朝,目前
今非昔比,今是昨非
今后,以后
金衣玉食,锦衣玉食
紧急,紧要
锦绣,美丽
尽心,经心
近况,现状
禁锢,监禁
精辟,精炼
精采,杰出
精粹,精炼
精练,简练
尽善尽美,精美绝伦
精品,佳构
精心,经心
精干,精壮
景况,境况
敬慕,景仰
警察,警员
警觉,警醒
敬服,敬重
静心,埋头
纠缠,胶葛
酒菜,酒席
旧日,昔日
旧友,旧交
救急,济急
救助,救济
舅父,母舅
居所,寓所
举案齐眉,相敬如宾
剧本,脚本
捐款,捐钱
捐献,捐募
孓然一身,形影相吊
决战,决斗
遗言,绝笔
军火,军器
军事机密,戎机
军装,戎衣
均摊,均派
俊丽,美丽
马首是瞻,密切追随
卖弄,矫饰
茅屋,茅舍
没没无闻,籍籍无名
美貌,仙颜
美名,隽誉
美男,美女
玉人,美女
佳话,美谈
门第,家世
门风,家声
盟国,友邦
梦境,梦乡
迷茫,渺茫
米已成炊,木已成舟
秘籍,秘笈
密集,麋集
暗码,密码
密谋,谋害
绵绵不断,源源不绝
免去,免除
面对,面临
面貌,面目
面容,面目面貌
面如土色,面如死灰
面色苍白,面无人色
描摹,形貌
眇小,渺小
灭绝,灭尽
民风,民俗
泯灭,淹灭
名人,名流
明白,明了
明显,明明
销声匿迹,鸣金收兵
命令,下令
模型,模子
膜拜,敬拜
消逝,磨灭
魔法,邪术
魔鬼,妖怪
末端,末了
末端,末尾
蓦地,猛然
蓦地,蓦然
默默无言,默不作声
谋杀,行刺
谋事在人,人定胜天
母老虎,母大虫
木材,木料
木柴,木料
木工,木匠
木鸡之呆,目瞪口呆
目不识丁,胸无点墨
聚精会神,目不斜视
目光短浅,目光如豆
目光如炬,目光如电
目空一切,目中无人
目录,目次
现在,目前
目染耳濡,见闻习染
目无王法,目无法纪
沐浴,洗浴
人命,性命
人心,民气
人缘,因缘
日常,一样平常
日记,日志
溶化,熔解
仍旧,如故
如何是好,如之奈何
若何,如何
若是,如果
若有,如有
西服,洋装
油腔滑调,嘻皮笑脸
沐浴,洗澡
喜讯,喜信
精密,细密
精致,细腻
细软,金饰
夏日,夏季
夏天,炎天
仙境,瑶池
贤达,贤能
贤良,贤能
乡间,乡下
相称,相等
相逢,邂逅
相见恨晚,相知恨晚
香喷喷,香馥馥
详尽,细致
详实,详确
笑容可掬,眉开眼笑
笑嘻嘻,笑哈哈
夕阳,斜阳
心服,心折
心烦意乱,心乱如麻
心猿意马,心神不定
心猿意马,心神恍惚
聚精会神,心神专注
心酸,心伤
心算,默算
信口雌黄,言三语四
醒觉,觉醒
性质,性子
凶恶,凶险
雄心壮志,雄心勃勃
虚张声势,矫揉造作
蓄积,积蓄
就义,殉国
湮灭,泯没
严明,严正
沿用,相沿
咬文嚼字,句斟字嚼
药到病除,妙手回春
一路,一起
一无可取,一无是处
一无所得,一无所获
一言不发,一声不响
一知半解,一孔之见
阴晦,阴暗
阴险,凶险
忌讳,隐讳
隐秘,秘密
应付自如,应付裕如
营业,业务
优柔,柔嫩
忧愁,忧闷
有用,有效
月底,月尾
月亮,玉轮
积聚,蕴蓄
爱人如己,己饥己溺
忧愁,哀愁
哀怜,悯恻
安不忘危,居安思危
暗潮,暗流
暗沟,阴沟
暗香,幽香
傲睨万物,傲世轻物
傲睨一世,昂首望天
傲卒多败,骄者必败
积渐,浸渐
积贮,积蓄
热忱,激情亲切
及锋而试,捷足先登
吉士,吉人
急遽,急忙
计无所出,小手小脚
摩拳擦掌,技痒
季世,末世
吉兆,佳兆
家道,家境
假贷,借贷
假意周旋,虚与委蛇
坚壁清野,焦土政策
坚辞,峻拒
简略节略,节减
见示,见教
见责,见怪
江干,江畔
胸中有数,匠意于心
交煎,交迫
姣美,姣好
浇薄,浇漓
纠葛,胶葛
脚迹,脚印行踪
剿除,剿灭
接于眼前,近在眉睫
揭疮疤,揭隐私
揭露,揭破
节余,结余
劫夺一空,满目荒凉
借字,借单
借势,借重
藉槁,藉卉
金口木舌,暮鼓晨钟
金兰交,莫逆交
金瓯无缺,一统天下
矜恤,悯恤
兢兢业业,谨小慎微
经籍,经书
荆天棘地,满地荆棘
警备,戒备
警策,警励
警句,警语
静坐,默坐
纠率,鸠率
鸠形鹄面,形容枯槁
酒坊,酒肆
居心不良,居心叵测
巨擘,巨头
巨子,巨头
集会,聚会会议
隽拔,俊拔
眷属,家属
决策,决议计划
军械,军器
竣事,结束
马革裹尸,捐躯疆场
满堂,举座
媒妁,媒人
美人命薄,命薄如花
梦话,梦呓
糜掷,糜费
秘而不泄,秘而不宣
密室,密屋
面前目今,眼前
妙技,技术手段
妙简,妙选
名士,名流
明见万里,明鉴万里
明器,冥器
明器,冥具
末节,小节
母财,母钱
母范,母仪
木筏,木排
目若朗星,目若悬珠
目使颐令,目指气使
目无流视,目不邪视
面前目今,目下
目眩魂摇,目眩心花
目眩魂摇,目眩神迷
蹊径,门路
认敌为友,认贼为子
日就衰败,每况愈下
消融,溶解
柔软,柔嫩
如丧考妣,如失父母
入国问俗,入境问禁
教师,西席
昔不如今,今是昨非
息款,息钱
心心相印,息息相通
嬉戏,游玩
喜新厌旧,见异思迁
戏弄,辱弄
细姨,小老婆
瞎说,瞎扯
鲜味,美味
闲步,漫步
闲雅,娴雅
明显,显着
险路,险途
几乎,险些
险峻,险要
限制,限定
限期,限日
乡信,家书
因袭,相沿
相应,响应
香烟,卷烟
巷子,小路
消灭净尽,鸡犬不留
小姐,蜜斯
细姨,小星
小雨,细雨
孝服,凶服
心病,芥蒂
心高气傲,骄气十足
心口不一,言不由衷
心曲,襟曲
信号,旌旗灯号
信托,信任
兴废,荣枯
兴致索然,兴味索然
人面兽心,行同狗彘
行运,交运
描写,形貌
形销骨立,形容枯槁
形影不离,形影相随
胸有定见,心中有数
袖中神算,锦囊妙计
墟落,乡村
玄学,形而上学
悬崖,绝壁
选录,节录
鸠笑鹏,井蛙语海
血战,决战苦战
逊色,减色
压倒,压服
亚肩迭背,肩摩毂击
淹没消灭,泯没
掩盖,掩饰笼罩
眼见,目击
眉目传情,眼去眉来
喜新厌旧,厌旧喜新
雁足传书,鱼雁不绝
餍足,满足
阳间,阳世
养虎伤身,养痈遗患
养虎遗患,养痈成患
妖冶,明媚
摇荡,摇曳
药到回春,妙手回春
要是,如果
一壁,一面
一得之愚,一孔之见
一个钱打二十四个结,精打细算
一呼百应,一呼百诺
一清二楚,一览无余
一石二鸟,一举两得
一下子,一会儿
一般,一样平常
蛮夷,夷狄
夷由,犹豫
姨妈,阿姨
移船就,移樽就教
移多补少,截长补短
以牙还牙,以眼还眼
义父,寄父
义军,义师
议决,经过议定
洋洋得意,意气扬扬
引发,激发
引火烧身,惹火烧身
隐隐,隐约
精华,英华
颖慧,颖悟
忧心如捣,忧心如焚
尤物,美人
安乐,愉逸
羽书,军书
郁勃,兴盛
预言家,先觉
缘故原由,原因
怨天恨地,怨天尤人
月晦,月终
月牙,新月
如此,云云
