把柄,痛处
叹惋,叹惜
叹息,叹气
探究,探索
探亲,投亲
探究,探求
探问,探听
探询,探听
逃窜,逃跑
逃之夭夭,抱头鼠窜
讨好,谄谀
讨论,探讨
特别,特殊
特别,特地
特意,特地
特点,特色
特性,特征
特点,特征
疼痛,痛苦悲伤
腾跃,跳跃
腾云驾雾,腾云跨风
誊写,抄写
提拔,提携
防备,提防
提示,提醒
提心吊胆,胆战心惊
提早,提前
体格,体魄
体系,体制
体恤,体贴
涕零,涕泣
替代,替换
调换,替换
替人,替身
天边,天涯
天才,蠢才
天长日久,长年累月
天长日久,天长地久
天地之别,天壤之别
天分,天性
天际,天涯
天南地北,天涯海角
天气,天色
地理,天文
天下升平,天下太平
天旋地转,天摇地动
天佑,天助
天灾人祸,天下大乱
天真烂漫,呆头呆脑
添油加醋,添枝加叶
添油加醋,添枝接叶
田单,田契
恬然,泰然
甜美,甜蜜
挑拨,挑唆
挑衅,挑战
挑选,挑拣
龆年,髫龄
贴心贴腹,推心置腹
铁证如山,铁案如山
听从,服从
听凭,听任
听其自然,听天由命
听其自然,听之任之
放任,听任
停学,辍学
停止,停滞
挺拔,挺立
挺拔伟岸,笔直粗壮
矗立,挺立
铤而走险,逼上梁山
通风,透风
通情达理,不近人情
通途,天堑
通信,通讯
同伴,错误
同出一脉,同宗同气
同窗,同学
同道,同志
同等,等同
同僚,同寅
同一,统一
同舟共济,风雨同舟
疼痛,痛苦
痛快,畅快
偷窃,偷盗
投奔,投靠
投合,逢迎
投机,投契
透辟,透彻
凸起,突出
突破,冲破
突破,打破
突如其来,从天而降
徒托空言,托之空言
屠戮,屠杀
土崩瓦解,分崩离析
土人,土着土偶
土人,土著
团聚,团圆
揣测,推测
推崇,推重
推辞,推脱
推动,推进
推荐,推举
推求,推寻
推辞,推卸
推许,推重
推荐,推选
颓废,颓丧
托辞,遁辞
托付,拜托
拖沓,拖拉
脱胎换骨,本性难移
妥当,妥善
妥当,妥帖
等闲视之,不屑一顾
奔腾,奔流
停泊,停靠
胆小,胆怯
透明,通明
本能,天性
担任,负责
通顺,通畅
挫折,波折
复线,单线
复数,单数
复课,停课
复刊,停刊
复交,断交
复工,停工
服役,退役
风靡,风行
奋起直追,踌躇不前
返航,出航
反馈,反应
繁杂,繁冗
繁多,单一
敦厚,刁滑
短暂,长久
短途,长途
短跑,长跑
短工,长工
短处,长处
动静,动态
动荡,动乱
叮嘱,叮咛
挑拨,调唆
凋敝,繁荣
递减,递加
地狱,天堂
抵抗,抵制
承认,抵赖
等内,等外
出发,登程
登场,退场
胆小,胆大
贷款,存款
歹毒,恶毒
促成,促进
粗率,草率
从容,沉着
辞让,推让
吹牛,吹嘘
出师,班师
出击,反击
聪慧,痴呆
超过,超越
插入,拔出
策动,策划
筹办,操办
沉重,惨重
不便,方便
补台,拆台
采纳,驳回
变化,变动
贬责,褒奖
褒扬,贬抑
贬义,褒义
鞭笞,鞭策
边沿,边际
暴涨,暴跌
帮助,帮忙
百家争鸣,百花怒放
罢职,撤职
不相上下,八两半斤
巴结,逢迎
白痴,呆子
白日,白天
摆架子,搭架子
败露,败事
颁发,发表
搬家,搬迁
挑衅,搬弄
办好,办妥
办事,服务
半推半就,不即不离
帮手,帮忙
傍边,当中
包涵,包容
包揽,包办
宝贝,宝物
暴动,暴乱
本地,当地
笨蛋,笨伯
比翼双飞,夫唱妇随
笔记,条记
避讳,避忌
避祸,逃难
避难,遁迹
编制,体例
变幻莫测,变化多端
变换,变更
辩驳,反驳
承袭,秉承
并且,而且
博爱,泛爱
不才,鄙人
不辞劳苦,不辞劳怨
不单,不但
不法,非法
不服,不平
不该,不应
不够,不敷
不顾,掉臂
不光,不但
不肯,不愿
倒霉,不利
不料,不意
不留神,不留心
不能自已,不能自制
不然,否则
不停,不绝
差别,不同
不妥,不当
不惜,不吝
不行,不可
天南地北,不着边际
布景,背景
步骤,步调
财气,财运
财务,财政
财源,财路
裁缝,成衣
裁员,裁人
参见,拜见
惨无天日,天昏地暗
仓库,堆栈
苍生,百姓
苍天,彼苍
操作,操纵
草莽,草泽
册封,封爵
茶馆,茶室
茶楼,茶室
不对,差池
产品,产物
长者,父老
畅饮,痛饮
超级,超等
潮流,潮水
吵架,打骂
撤销,打消
尘间,凡间
尘世,凡间
闯入,突入
趁机,乘隙
城市,都会
乘车,搭车
乘船,搭船
乘客,搭客
吃醋,妒忌
叱呵,叱喝
充数,凑数
冲锋陷阵,赴汤蹈火
冲击,打击
冲入,突入
宠信,宠任
抽空,抽闲
仇家,对头
愁云满面,愁眉不展
筹谋,策划
报答,酬金
酬劳,报酬
出版,出书
特别,出格
出人意料,出人意表
出手,脱手
出于无奈,必不得已
初衷,初志
撤除,除掉
撤除,除去
锄奸,除奸
储蓄,储备
处处,到处
办事,处事
触目皆是,比比皆是
揣度,推断
通报,传递
传神,逼真
喘气,喘息
低头,垂头
春联,对联
蠢人,笨伯
词典,辞书
词藻,词采
辞谢,推却
此外,别的
刺骨,砭骨
从容自在,从容自若
从头到尾,从头至尾
粗略,大略
粗言,鄙言
促膝谈心,把臂而谈
存心不良,包藏祸心
揣测,忖测
揣测,忖度
答理,答应
答允,答应
打倒,打垮
打点,办理
打斗,打架
打赌,赌钱
打手势,打手式
打鱼,捕鱼
大败,大北
大半,泰半
大澈大悟,澈底觉悟
暴徒,大盗
大都,多数
大喊,大呼
大驾,台端
大叫,大呼
大举,大肆
大名,台甫
大煞风景,焚琴煮鹤
放肆,大肆
大要,大体
大雅,风雅
大雨滂沱,大雨如注
代劳,代庖
动员,带动
待价而沽,囤积居奇
待遇,报酬
怠懈,怠惰
单刀赴会,单人独马
单位,单元
担保,包管
胆大心细,胆大心小
胆寒,胆怯
胆量,胆子
弹无虚发,百步穿杨
当兵,投军
当事者,本事儿
刀光剑影,刀光血影
背叛,倒戈
倒塌,坍毁
到家,抵家
盗匪,伏莽
盗取,偷取
道听途说,耳食之闻
抱病,得病
德性,德行
灯火辉煌,灯烛辉煌
灯泡,灯胆
登基,登位
登陆,登岸
等到,比及
滴水不漏,点水不漏
滴下,淌下
敌手,对手
地动,地震
地方官,父母官
地盘,土地
地盘,地皮
地契,方单
地址,地点
地主,田主
弟妇,弟媳
巅峰,顶峰
电扇,风扇
店铺,店肆
店主,东家
奠定,奠基
凋零,雕残
雕虫小技,虫篆之技
雕零,雕落
吊祭,吊丧
吊水,打水
钓鱼,垂纶
调动,变更
调理,调度
调养,保养
订价,定价
定数,定命
定心,放心
东奔西走,到处奔跑
都市,都会
斗胆,大胆
打斗,斗殴
斗气,负气
斗嘴,辩论
豆浆,豆乳
把持,独霸
打赌,赌博
断绝往来,不相闻问
断命,毕命
对调,对换
对证,对质
敦厚,敦朴
顿脚,跺脚
多半,多数
多如牛毛,不足为奇
躲债,避债
堕胎,打胎
恶人得势,歹徒横行
暴徒,恶徒
恶语伤人,出言无状
停止,遏制
恩仇,恩怨
恩德,恩义
耳环,耳饰
发财,发达
发疯,发狂
发财,发家
发妻,嫡妻
发芽,抽芽
伐罪,讨伐
法规,法例
法则,法例
法网恢恢,天道好还
帆船,风帆
翻译员,通译员
凡夫俗子,伧夫俗人
尘寰,凡间
繁荣富强,繁荣昌盛
反悔,忏悔
反客为主,反宾为主
反扑,反攻
反照,倒映
犯得上,犯得着
不法,犯科
泛起,出现
饭店,饭馆
方子,方剂
防线,防地
访友,探友
非死即伤,不死即伤
蜚言,浮言
分担,分管
分隔,分开
分家,分居
分配,分派
分身乏术,分身不暇
纷歧,不一
奋发向上,奋发图强
奋起,抖擞
风餐露宿,跋山涉水
风度翩翩,风姿潇洒
风采,风范
风浪,风波
奉还,璧还
奉行,推行
讨好,奉迎
否决,反对
伏法,伏诛
伏罪,服罪
抚养,扶养
扶摇直上,百尺竿头
帮助,扶助
拂袖,拂衣
服法,吃法
服装,打扮
标记,符号
福寿无疆,福寿绵绵
抚琴,弹琴
俯拾即是,俯拾地芥
帮手,副手
富翁,大亨
覆水难收,反水不收
提拔,抬举
太息,叹气
探究,探讨
堂堂正正,大公至正
韬光养晦,闭门不出
逃脱,逃走
特出,彪炳
提要,提纲
发起,提议
体现,表现
天南地北,天各一方
甜头,长处
填充,添补
听命,服从
停留,停顿
通宵,彻夜
同党,翅膀
同日而语,等量齐观
同心合力,同心并力
图谋不轨,犯上作乱
退兵,退军
脱节,摆脱
八竿子打不着,八棍子撂不着
八股,陈腔滥调
八字帖,发草帖
拔除,铲除
跋前踬后,动辄得咎
白搭,白费
白日飞升,白日升天
白云苍狗,沧海桑田
白种人,碧眼儿
百折不挠,百折不回
拜候,访谒
班门弄斧,布鼓雷门
搀和,拌合
拌杂,拌合
版图,邦畿
宝缄,大札
宝塔,浮屠
宝穴,铜山
抱冤,抱屈
豹隐,遁世
爆竹,爆仗
悲泣,悲啼
碑帖,碑本
北斗,斗极
北里,娼寮
背约,背信
本地货,土产
本旨,本心
本子,簿子
比量齐观,同等看待
比岁不登,比年不登
卑鄙,鄙俚
韬匮藏珠,闭门不出
璧赵,璧还
便条,条子
辩说,辩论
宾朋迎门,宾朋盈门
兵法,兵书
并日而食,草衣木食
剥夺,褫夺
剥极必复,否极必泰
勃然变色,怫然作色
博古通今,博学多闻
薄酌,菲酌
不安本分,不安分
不睬,不理
不吃烟火食,不食人间烟火
不搭腔,不答腔
不搭腔,不搭嘴
不达时宜,不合时宜
不打不成相与,不打不相识
不当准,不作准
不夺农时,不违农时
不二,不贰
不分 白,不顾曲直
不足,不敷
不伏手,不顺手
不顾外表,不拘小节
不见圭角,不露锋芒
不刊之论,不易之论
不堪,不胜
弗成,不可
不克不及,不能
不郎不秀,不稂不莠
不吝指教,不吝珠玉
不露圭角,不露锋芒
不露神色,不露声色
不落俗套,不落窠臼
不能尽数,不能胜数
不宁不奈,不宁奈
不宁不耐,不宁耐
不屈,不平
不染纤尘,冰清玉洁
不入耳,不中听
不上不下,处境尴尬
不唯,不惟
不消,不用
不厌其详,不厌求详
不谋而合,不约而合
不伦不类,不正经
不足齿数,不足挂齿
不足为据,不足为凭
不当准,不作数
布道,传教
布匹,布疋
布衣粝食,布衣蔬食
步兵,步卒
步辇儿,步行
步辇儿,步碾儿
本子,簿本
才情,才思
材伎,材艺
财贿,财货
参考之资,他山之石
残破,残缺
仓卒,匆急
沧海微尘,太仓一粟
葱翠,苍翠
草野,草泽
草纸,厕纸
侧丽,侧艳
测字,拆字
查考,覆按
茶话会,谈话会
垂涎欲滴,馋涎欲滴
阐发,分析
猖,跋扈
长眠,长逝
长命百岁,天保九如
长袖善舞,多财善贾
怅惋,怅惜
超群出众,超群绝伦
巢毁卵破,唇亡齿寒
吵杂,烦吵
车费,车资
彻里彻外,彻头彻尾
彻里彻外,彻上彻下
尘事,尘务
报告,陈诉
称孤道寡,称王称帝
撑场面,充排场
成名术,登龙术
承上启下,承先启后
诚笃,诚实
笞打,楚挞
持疑不定,持疑不决
斥候,标兵
充军,放逐
抽丰,打秋风
稠人广众,大庭广众
筹议,筹商
出力异常,特别卖力
出谋划策,出谋献策
楚切,悲凄
处理,处置惩罚
穿房过屋,穿房入户
船长,船主
船厂,船坞
床上安床,迭床架屋
春情,春心
巢倾卵破,唇亡齿寒
词翰,词章
词讼,刀笔
从兄弟,堂兄弟
丛聚,簇集
粗衣劣食,恶衣恶食
窜犯,窜扰
村塾,村学
村校,村学
藏身安身,存身
寸晷,寸阴
寸心,寸衷
错漏,讹夺
打顺风锣,打顺风旗
打眼号,递眼色
大氅,斗篷
大吹牛皮,大张其词
大力成全,鼎力玉成
大吹牛皮,大言不惭
大族,富家
纯真,单纯
澹泊,恬淡
当头棒喝,当头一棒
党魁,党首
党羽,翅膀
荡垢涤污,伐毛洗髓
档册,檀案
刀头之蜜,佛口蛇心
叨在知己,忝在爱末
导引,扶引
到差,赴任
盗魁,盗首
道听涂说,耳食之闻
道学味,方巾气
德律风,电话
的一确二,丁一卯二
灯芯,灯炷
邓通之财,陶猗之富
低首下心,低头屈膝
地方不宁,盗贼四起
典雅堂皇,典丽堂皇
点火,焚烧
佃户,田户
调理,调治
蹀躞,蹀
丁宁,打发
钉扣子,缝扣子
大力,鼎力大举
订盟,缔盟
定规,定例
定胜败,分高下
定则,定章
东床,半子
东瀛,东洋
冬烘,腐儒
洞开,敞开
兜销,兜售
豆剖瓜分,半壁江山
杜门不出,闭门不出
短寿,短折
对天长叹,长吁短叹
对折,半数
发号布令,发号令
发号施令,发号令
发轫,发端
发言,谈话
珐琅,搪瓷
帆柱,帆樯
烦懑,不快
蕃殖,繁生
太阿倒持,反宾为主
犯讳,犯忌
图为不轨,犯上作乱
梵学,佛学
梵宇,佛寺
方丈和尚,当家和尚
房客,佃农
拜望,访候
放开,摊开
放洋,出洋
肥皂,番笕
诽语,谗言
分辨差别,分别辨别
焚膏继晷,通宵达旦
焚劫,焚掠
奋发蹈厉,奋发自强
奋勇争先,奋勇当先
风静,风止
风靡云涌,风靡云蒸
夫役,挑夫
伏祈,伏乞
浮薄,佻达
浮皮蹭痒,浮皮潦草
宝塔,浮图
福寿绵长,福寿绵绵
釜中游鱼,釜中之鱼
父（母）丧,丁忧
付托,吩咐
丰富,富厚
赋予,付与
蚍蜉撼树,不自量力
他心,贰心
太初,太始
太过,太甚
泰山其颓,泰山殒落
贪杯,贪酒
贪官污吏,贪官蠹役
贪嘴,贪馋
覃思,沉思
袒裼裸裎,寸丝不挂
叹伤,悲叹
打听,探询探望
探员,捕快
蚍蜉撼树,螳臂挡车
饕餮,贪吃
逃匿,窜匿
讨债,讨帐
挺拔,特立
腾跃,腾踊
誊写,誊录
体谅,体贴
反老回童,天保九如
禀赋,天禀
天国,天堂
天井,庭院
天伦,嫡亲
天南地北,天南海北
天年,天算
佻薄,浮滑
挑水,担水
浮薄,挑
条款,条目
层次,条理
条理分明,头头是道
条文,条则
跳班,跳级
跳出火炕,逃出生天
铁笔银钩,铁画银钩
铁蒺藜,铁丝网
铁价,不二价
铁面无情,铁面无私
挺拔,挺秀
通行,通畅
通合一气,通同一气
同亲,同乡
同砚,同学
同族,本家
痛爱,宠爱
痛惜,怅然
头陀,梵衲
秃头,秃顶
土匪,匪贼
土鸡瓦犬,土牛木马
土气,土头土脑
逃窜,兔脱
揣摸,推断
推涛作浪,挑拨离间
吞吐其辞,吞吞吐吐
托钵,讨饭
脱销,畅销
